Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9790,0.9783,0.9976,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9825,0.9832,0.9988,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9790,0.9795,0.9992,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9860,0.9863,0.9997,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9720,0.9716,0.9969,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9825,0.9836,0.9972,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9790,0.9786,0.9991,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9860,0.9869,0.9992,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9825,0.9832,0.9963,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9755,0.9749,0.9977,"{'C': 10, 'max_iter': 10000}"
