Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9720,0.9701,0.9965,0.9559,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9510,0.9481,0.9882,0.9412,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,2,0.9790,0.9797,0.9964,0.9732,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9650,0.9635,0.9927,0.9565,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,3,0.9930,0.9925,0.9997,0.9925,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9650,0.9655,0.9945,0.9589,"{'max_depth': 30, 'n_estimators': 100}"
Logistic Regression,4,0.9825,0.9838,0.9963,0.9806,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9441,0.9459,0.9897,0.9333,"{'max_depth': 30, 'n_estimators': 50}"
Logistic Regression,5,0.9755,0.9761,0.9955,0.9728,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9755,0.9742,0.9985,0.9851,"{'max_depth': 30, 'n_estimators': 200}"
Logistic Regression,6,0.9860,0.9859,0.9993,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9685,0.9695,0.9955,0.9795,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,7,0.9685,0.9675,0.9943,0.9571,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9476,0.9505,0.9930,0.9664,"{'max_depth': 30, 'n_estimators': 50}"
Logistic Regression,8,0.9720,0.9704,0.9927,0.9632,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9580,0.9565,0.9926,0.9635,"{'max_depth': 10, 'n_estimators': 200}"
Logistic Regression,9,0.9860,0.9865,0.9973,0.9799,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9790,0.9789,0.9906,0.9789,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,10,0.9790,0.9793,0.9991,0.9660,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9650,0.9638,0.9917,0.9638,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,11,0.9510,0.9560,0.9961,0.9870,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9685,0.9680,0.9975,0.9784,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,12,0.9650,0.9632,0.9929,0.9632,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9790,0.9776,0.9968,0.9776,"{'max_depth': 20, 'n_estimators': 50}"
Logistic Regression,13,0.9755,0.9775,0.9916,0.9806,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9755,0.9764,0.9988,0.9864,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,14,0.9650,0.9648,0.9934,0.9384,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9580,0.9580,0.9911,0.9448,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,15,0.9545,0.9537,0.9895,0.9371,"{'C': 1, 'max_iter': 10000}"
Random Forest,15,0.9615,0.9600,0.9925,0.9778,"{'max_depth': 10, 'n_estimators': 50}"
Logistic Regression,16,0.9930,0.9928,0.9998,0.9928,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9580,0.9615,0.9884,0.9740,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,17,0.9965,0.9963,0.9999,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9720,0.9732,0.9944,0.9797,"{'max_depth': 30, 'n_estimators': 50}"
Logistic Regression,18,0.9685,0.9663,0.9907,0.9485,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9685,0.9703,0.9971,0.9545,"{'max_depth': 20, 'n_estimators': 200}"
Logistic Regression,19,0.9720,0.9720,0.9956,0.9720,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9615,0.9619,0.9942,0.9789,"{'max_depth': 30, 'n_estimators': 200}"
Logistic Regression,20,0.9650,0.9643,0.9936,0.9507,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9685,0.9673,0.9926,0.9568,"{'max_depth': 20, 'n_estimators': 200}"
