Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Recall,Best Parameters
Logistic Regression,0,0.9545,0.9531,0.9890,0.9362,0.9706,"{'C': 10, 'max_iter': 10000}"
Random Forest,0,0.9580,0.9605,0.9937,0.9605,0.9605,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,1,0.9650,0.9673,0.9954,0.9737,0.9610,"{'C': 1, 'max_iter': 10000}"
Random Forest,1,0.9615,0.9614,0.9917,0.9648,0.9580,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,2,0.9930,0.9931,0.9995,0.9931,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9790,0.9796,0.9983,0.9863,0.9730,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,3,0.9790,0.9799,0.9977,0.9669,0.9932,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9615,0.9625,0.9929,0.9400,0.9860,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,4,0.9825,0.9822,0.9991,0.9928,0.9718,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9755,0.9736,0.9985,0.9923,0.9556,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,5,0.9685,0.9686,0.9939,0.9720,0.9653,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9685,0.9684,0.9911,0.9650,0.9718,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,6,0.9860,0.9865,0.9988,0.9799,0.9932,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9476,0.9481,0.9876,0.9384,0.9580,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,7,0.9790,0.9795,0.9974,0.9662,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9755,0.9761,0.9968,0.9862,0.9662,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,8,0.9720,0.9720,0.9956,0.9653,0.9789,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9650,0.9632,0.9883,0.9562,0.9704,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,9,0.9755,0.9763,0.9979,0.9863,0.9664,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9650,0.9658,0.9911,0.9463,0.9860,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,10,0.9685,0.9695,0.9928,0.9662,0.9728,"{'C': 1, 'max_iter': 10000}"
Random Forest,10,0.9755,0.9770,0.9984,0.9868,0.9675,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,11,0.9790,0.9779,0.9990,0.9852,0.9708,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9720,0.9724,0.9983,0.9792,0.9658,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,12,0.9790,0.9801,0.9979,0.9737,0.9867,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9755,0.9740,0.9961,0.9850,0.9632,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,13,0.9895,0.9887,0.9985,0.9850,0.9924,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9685,0.9682,0.9967,0.9716,0.9648,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,14,0.9685,0.9680,0.9941,0.9645,0.9714,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9615,0.9627,0.9920,0.9595,0.9660,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,15,0.9755,0.9759,0.9928,0.9595,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9755,0.9742,0.9973,0.9706,0.9778,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,16,0.9825,0.9837,0.9977,0.9869,0.9805,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9825,0.9819,0.9970,0.9784,0.9855,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,17,0.9895,0.9897,0.9996,0.9931,0.9863,"{'C': 10, 'max_iter': 10000}"
