Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9685,0.9680,0.9954, 0.9577,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,1,0.9650,0.9624,0.5000, 0.9343,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,2,0.9790,0.9801,0.9975, 0.9867,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,2,0.9685,0.9686,0.5000, 0.9653,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,3,0.9755,0.9761,0.9876, 0.9597,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,3,0.9615,0.9588,0.5000, 0.9412,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,4,0.9895,0.9889,0.9989, 0.9926,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,4,0.9825,0.9831,0.5000, 0.9667,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,5,0.9825,0.9829,0.9984, 0.9730,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,5,0.9790,0.9803,0.5000, 0.9675,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,6,0.9720,0.9728,0.9985, 0.9728,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,6,0.9685,0.9673,0.5000, 0.9638,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,7,0.9615,0.9617,0.9910, 0.9583,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,7,0.9685,0.9686,0.5000, 0.9521,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,8,0.9825,0.9826,0.9925, 0.9860,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,8,0.9720,0.9730,0.5000, 0.9664,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,9,0.9825,0.9823,0.9950, 0.9858,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,9,0.9755,0.9758,0.5000, 0.9724,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,10,0.9720,0.9710,0.9947, 0.9640,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,10,0.9825,0.9828,0.5000, 0.9662,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,11,0.9755,0.9740,0.9964, 0.9776,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,11,0.9755,0.9740,0.5000, 0.9632,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,12,0.9755,0.9747,0.9957, 0.9507,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,12,0.9860,0.9859,0.5000, 0.9722,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,13,0.9685,0.9682,0.9902, 0.9514,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,13,0.9790,0.9796,0.5000, 0.9664,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,14,0.9720,0.9733,0.9904, 0.9865,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,14,0.9790,0.9789,0.5000, 0.9720,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,15,0.9615,0.9611,0.9951, 0.9510,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,15,0.9790,0.9792,0.5000, 0.9860,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,16,0.9545,0.9537,0.9972, 0.9116,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,16,0.9755,0.9749,0.5000, 0.9645,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,17,0.9476,0.9485,0.9887, 0.9517,"{'C': 1, 'max_iter': 10000}"
Support Vector Machine,17,0.9685,0.9677,0.5000, 0.9712,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,18,0.9510,0.9514,0.9890, 0.9195,"{'C': 1, 'max_iter': 10000}"
Support Vector Machine,18,0.9685,0.9691,0.5000, 0.9527,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,19,0.9825,0.9828,0.9958, 0.9728,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,19,0.9790,0.9776,0.5000, 0.9632,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,20,0.9790,0.9805,0.9991, 0.9742,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,20,0.9790,0.9800,0.5000, 0.9735,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,21,0.9825,0.9826,0.9986, 0.9930,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,21,0.9720,0.9724,0.5000, 0.9724,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,22,0.9860,0.9867,0.9990, 0.9801,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,22,0.9580,0.9574,0.5000, 0.9507,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,23,0.9615,0.9632,0.9962, 0.9351,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,23,0.9720,0.9735,0.5000, 0.9735,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,24,0.9790,0.9779,0.9956, 0.9708,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,24,0.9825,0.9822,0.5000, 0.9718,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,25,0.9650,0.9645,0.9922, 0.9379,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,25,0.9790,0.9779,0.5000, 0.9708,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,26,0.9650,0.9660,0.9963, 0.9660,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,26,0.9790,0.9786,0.5000, 0.9648,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,27,0.9860,0.9862,0.9989, 0.9795,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,27,0.9685,0.9682,0.5000, 0.9448,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,28,0.9755,0.9756,0.9986, 0.9859,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,28,0.9825,0.9832,0.5000, 0.9733,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,29,0.9860,0.9859,0.9991, 0.9790,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,29,0.9790,0.9792,0.5000, 0.9592,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
