Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9790,0.9783,0.9976,0.9712,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9720,0.9697,0.9957,0.9846,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
SVM,1,0.9825,0.9834,0.9976,0.9737,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,2,0.9720,0.9720,0.9957,0.9653,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9685,0.9701,0.9950,0.9669,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,2,0.9650,0.9658,0.9924,0.9527,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,3,0.9895,0.9892,0.9971,0.9857,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9580,0.9562,0.9878,0.9291,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
SVM,3,0.9860,0.9869,0.9986,0.9742,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,4,0.9755,0.9759,0.9951,0.9660,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9720,0.9714,0.9964,0.9577,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
SVM,4,0.9825,0.9826,0.9951,0.9792,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,5,0.9790,0.9804,0.9974,0.9677,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9685,0.9670,0.9917,0.9851,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
SVM,5,0.9755,0.9772,0.9929,0.9804,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,6,0.9790,0.9810,0.9985,0.9936,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9615,0.9632,0.9920,0.9931,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
SVM,6,0.9650,0.9658,0.9900,0.9463,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,7,0.9825,0.9836,0.9984,0.9740,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9580,0.9571,0.9881,0.9571,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
SVM,7,0.9720,0.9722,0.9920,0.9589,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,8,0.9825,0.9827,0.9960,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9685,0.9663,0.9958,0.9699,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}"
SVM,8,0.9755,0.9751,0.9944,0.9580,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,9,0.9825,0.9817,0.9968,0.9781,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9720,0.9716,0.9949,0.9716,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
SVM,9,0.9755,0.9753,0.9980,0.9650,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,10,0.9790,0.9800,0.9933,0.9735,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9615,0.9632,0.9913,0.9600,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}"
SVM,10,0.9685,0.9673,0.9968,0.9638,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,11,0.9755,0.9756,0.9944,0.9655,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9545,0.9547,0.9942,0.9648,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}"
SVM,11,0.9650,0.9662,0.9982,0.9728,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,12,0.9860,0.9867,0.9972,0.9801,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9720,0.9726,0.9989,1.0000,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
SVM,12,0.9685,0.9677,0.9939,0.9712,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,13,0.9860,0.9861,0.9989,0.9861,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9720,0.9747,0.9947,0.9565,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}"
SVM,13,0.9895,0.9895,0.9933,0.9793,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,14,0.9825,0.9832,0.9992,0.9733,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9580,0.9571,0.9907,0.9437,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
SVM,14,0.9790,0.9796,0.9947,0.9730,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,15,0.9720,0.9706,0.9907,0.9565,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9790,0.9799,0.9982,0.9865,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
SVM,15,0.9790,0.9786,0.9947,0.9786,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,16,0.9825,0.9828,0.9909,0.9662,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9476,0.9485,0.9895,0.9650,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,16,0.9860,0.9845,0.9994,1.0000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,17,0.9755,0.9782,0.9878,0.9632,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9650,0.9664,0.9978,0.9664,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
SVM,17,0.9755,0.9758,0.9955,0.9592,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,18,0.9755,0.9756,0.9907,0.9722,"{'C': 1, 'max_iter': 10000}"
Random Forest,18,0.9720,0.9716,0.9984,0.9856,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,18,0.9755,0.9747,0.9948,0.9783,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,19,0.9615,0.9611,0.9914,0.9315,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9755,0.9761,0.9972,0.9597,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
SVM,19,0.9615,0.9617,0.9930,0.9324,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,20,0.9860,0.9864,0.9997,0.9797,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9825,0.9822,0.9979,0.9857,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,20,0.9650,0.9658,0.9925,0.9463,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,21,0.9860,0.9856,0.9994,0.9928,"{'C': 10, 'max_iter': 10000}"
Random Forest,21,0.9545,0.9598,0.9972,0.9810,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
SVM,21,0.9685,0.9680,0.9958,0.9714,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,22,0.9580,0.9608,0.9949,0.9735,"{'C': 1, 'max_iter': 10000}"
Random Forest,22,0.9755,0.9742,0.9970,0.9706,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,22,0.9720,0.9740,0.9936,0.9677,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,23,0.9825,0.9827,0.9956,0.9861,"{'C': 10, 'max_iter': 10000}"
Random Forest,23,0.9441,0.9494,0.9784,0.9615,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}"
SVM,23,0.9720,0.9690,0.9933,0.9470,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,24,0.9895,0.9898,0.9974,0.9799,"{'C': 10, 'max_iter': 10000}"
Random Forest,24,0.9825,0.9826,0.9965,0.9860,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,24,0.9650,0.9671,0.9974,0.9608,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,25,0.9755,0.9775,0.9946,0.9620,"{'C': 10, 'max_iter': 10000}"
Random Forest,25,0.9580,0.9608,0.9932,0.9671,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
SVM,25,0.9720,0.9742,0.9978,0.9618,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
