Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9720,0.9716,0.9944,0.9448,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9685,0.9691,0.9988,1.0000,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,2,0.9650,0.9650,0.9967,0.9928,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9580,0.9583,0.9899,0.9583,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,3,0.9825,0.9819,0.9986,0.9714,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9615,0.9603,0.9968,0.9638,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,4,0.9825,0.9828,0.9955,0.9862,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9545,0.9537,0.9915,0.9437,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,5,0.9615,0.9625,0.9915,0.9463,"{'C': 1, 'max_iter': 10000}"
Random Forest,5,0.9580,0.9577,0.9865,0.9444,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,6,0.9685,0.9693,0.9938,0.9530,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9615,0.9614,0.9934,0.9856,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,7,0.9860,0.9861,0.9992,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9685,0.9670,0.9965,0.9778,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,8,0.9755,0.9753,0.9968,0.9650,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9685,0.9673,0.9952,0.9568,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,9,0.9685,0.9695,0.9974,0.9795,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9545,0.9571,0.9986,0.9864,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
Logistic Regression,10,0.9895,0.9892,0.9963,0.9856,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9476,0.9446,0.9892,0.9343,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,11,0.9510,0.9504,0.9904,0.9306,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9755,0.9769,0.9994,0.9933,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,12,0.9895,0.9904,0.9952,0.9873,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9615,0.9617,0.9924,0.9517,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,13,0.9720,0.9733,0.9922,0.9669,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9755,0.9759,0.9962,0.9726,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
Logistic Regression,14,0.9650,0.9648,0.9936,0.9514,"{'C': 10, 'max_iter': 10000}"
