"","Bin.8.22","Bin.0.82","Bin.0.78","Bin.0.90","Bin.0.86","Bin.1.02","Bin.0.98","Bin.0.94","Bin.1.42","Bin.1.50","Bin.1.06","Bin.1.54","Bin.1.74","Bin.1.70","Bin.1.58","Bin.1.66","Bin.1.62","Bin.1.38","Bin.1.98","Bin.1.86","Bin.1.82","Bin.1.78","Bin.2.98","Bin.1.10","Bin.3.10","Bin.2.06","Bin.2.02","Bin.7.90","Bin.1.14","Bin.4.26","Bin.4.34","Bin.4.22","Bin.4.30","Bin.4.10","Bin.1.90","Bin.2.10","Bin.1.94","Bin.4.14","Bin.3.74","Bin.2.30","Bin.1.46","Bin.2.22","Bin.1.18","Bin.3.66","Bin.3.62","Bin.4.18","Bin.2.26","Bin.1.30","Bin.2.42","Bin.2.38","Bin.2.14","Bin.3.42","Bin.3.22","Bin.3.82","Bin.3.78","Bin.3.50","Bin.3.46","Bin.3.38","Bin.3.90","Bin.3.86","Bin.1.34","Bin.3.70","Bin.3.54","Bin.3.94","Bin.4.38","Bin.3.58","Bin.3.14","Bin.2.62","Bin.3.34","Bin.3.18","Bin.2.50","Bin.2.46","Bin.2.94","Bin.2.82","Bin.2.78","Bin.2.90","Bin.2.86","Bin.4.02","Bin.1.26","Bin.1.22","Bin.3.98","Bin.2.58","Bin.2.66","Bin.2.70","Bin.2.54","Bin.3.26","Bin.3.02","Bin.2.34","Bin.2.18","Bin.3.30","Bin.2.74","Bin.6.46","Bin.6.50","Bin.6.38","Bin.6.30","Bin.4.06","Bin.4.04","Bin.3.06","Bin.3.04","Bin.7.30","Bin.7.62","Bin.7.58","Bin.7.86","Bin.7.66","Bin.7.82","Bin.7.54","Bin.7.34","Bin.7.42","Bin.7.38","Bin.7.26","Bin.7.22","Bin.7.98","Bin.7.18","Bin.0.62","Bin.0.58","Bin.0.54","Bin.9.38","Bin.0.74","Bin.0.70","Bin.0.66","Bin.9.02","Bin.8.94","Bin.9.30","Bin.9.06","Bin.9.10","Bin.6.70","Bin.6.78","Bin.6.74","Bin.6.94","Bin.6.66","Bin.6.98","Bin.9.78","Bin.9.90","Bin.9.54","Bin.9.98","Bin.9.86","Bin.9.82","Bin.9.74","Bin.9.66","Bin.9.62","Bin.9.58","Bin.8.54","Bin.7.14","Bin.8.86","Bin.9.14","Bin.8.82","Bin.6.42","Bin.6.34","Bin.6.54","Bin.6.62","Bin.6.58","Bin.7.50","Bin.6.86","Bin.8.42","Bin.8.38","Bin.8.26","Bin.8.66","Bin.8.58","Bin.8.30","Bin.8.14","Bin.8.78","Bin.8.62","Bin.8.74","Bin.8.70","Bin.8.50","Bin.8.10","Bin.8.06","Bin.7.74","Bin.8.98","Bin.8.34","Bin.8.46","Bin.7.78","Bin.6.82","Bin.0.26","Bin.0.22","Bin.0.34","Bin.0.42","Bin.0.30","Bin.0.50","Bin.0.46","Bin.9.22","Bin.9.50","Bin.9.42","Bin.9.34","Bin.9.18","Bin.8.90","Bin.6.90","Bin.9.46","Bin.0.38","Bin.7.46","Bin.7.06","Bin.7.02","Bin.7.70","Bin.7.94","Bin.7.10","Bin.9.94","Bin.9.70","Bin.9.26","Bin.8.18","Bin.8.02"
"Bin.8.22",1,0.4732018,0.4574065,0.5015268,0.5187144,0.3693017,0.4336793,0.4775248,0.3284811,0.3616468,0.4400596,0.2047921,0.4549365,0.5101295,0.4828198,0.5773303,0.4694354,0.4103946,0.5132616,0.4138053,0.5396069,0.5610299,0.30964,0.4572564,0.3596636,0.5900664,0.4183344,0.06390975,0.1088775,0.3029099,0.1744301,0.1459446,0.4160926,0.4861524,0.1919852,0.4576241,0.2244804,0.3855881,0.2153832,0.1062867,0.2175837,0.1609396,0.0534779,0.1077376,-0.07337494,0.08283641,0,0.06959077,0,0.1731071,0.1530055,0.07134228,0.2024572,0,0.2358082,-0.1133352,0,0.1587062,-0.05642625,0.09177579,0,0,-0.08357599,-0.3017771,-0.05484709,0,0.1853535,0,0.2011329,0.1572679,0.1604398,0.09327518,0.1030345,0,0.1616865,-0.06393688,-0.06826925,0.4929988,0.2589755,0.06246402,-0.3228117,-0.1533128,-0.1997141,-0.1509931,-0.1599512,0,-0.0649225,-0.3235073,0,0.2497041,0.2711178,0,0,0,0,0.2559665,0.3112431,0.2959336,0.2461104,-0.4631442,-0.4524966,-0.4630734,-0.4560065,-0.4598629,-0.5006083,-0.4889608,-0.3366288,-0.2842044,-0.2859361,-0.4052665,-0.4285578,-0.07302473,0.1719518,0,0,0,0.07172479,0,0,0,0.05679714,0.1215245,0.1289999,0,-0.07956417,-0.08676658,-0.1086547,-0.1008748,-0.1900082,-0.1079991,-0.2940573,0.07430935,-0.1395661,0.1753033,-0.353132,0,0,-0.1049611,0.07952865,0,0,0.06355484,0,-0.151266,-0.2802893,-0.2860829,-0.07815231,-0.07814674,-0.07139487,0,-0.05487593,-0.2573433,0.08435938,0.5941926,0.6958196,0.6761259,0.5963992,0.5757864,0.597184,0.5994605,0.3518233,0.4345386,0.3429977,0.3610368,0.3610842,0.1371819,0.3173047,0.2188948,0.5713257,0.6969844,0.4054927,0.2047682,0.2931221,0.1983761,0.1816568,0.07443225,0.1192905,0.1780877,0,0.1447792,0,0,0.1500699,0.3519234,0.09422861,0.4096702,0,0,0.07711079,-0.1259943,-0.110323,-0.06294628,0.1746339,0,0,-0.09404426,0.1922732,0.3037949,0.6476959,0.5823234
"Bin.0.82",0.4732018,1,0.9563711,0.8626391,0.8968327,0.8978119,0.8844055,0.9309523,0.7562621,0.5556459,0.6825489,0.4966935,0.725443,0.8533198,0.7079382,0.7286476,0.7632215,0.5980226,0.6755164,0.7866123,0.6478038,0.6654393,0.5628994,0.3028173,0.1299523,0.4914383,0.4434856,0.2084606,0.2487841,0.3236682,0.1349679,0.2509656,0.18888,0.1458325,0.4010842,0.6792858,0.4891134,0.1549656,0.2619856,0.4569962,0.4651949,0.3455493,0.2114249,-0.09772284,-0.06170175,0,0.2643766,0.0999613,0,0.1198159,0.2183535,0,0.1263549,0,0,0.1273185,0,0.111979,0.18209,0.1574129,0.1375392,0.146839,0.09956372,-0.3183531,-0.2557479,-0.315617,-0.4489483,-0.3369661,-0.3648436,-0.3197928,-0.2295174,-0.2363523,0.137332,0,0.1992454,-0.1221963,0.1823564,0,0,0.05603668,-0.6697498,-0.4604844,-0.5432429,-0.6624046,-0.6589805,-0.1241892,-0.1020643,-0.356255,0,-0.1907612,-0.1813552,-0.2677845,-0.301174,-0.3211301,-0.3477366,-0.3408652,-0.307974,-0.2952318,-0.3092019,-0.6245431,-0.5788767,-0.6677944,-0.7257,-0.7469986,-0.7098394,-0.706835,-0.129633,-0.1202408,-0.1505235,-0.1796331,-0.4873951,-0.1331869,-0.1658478,0.3004851,0.2761635,0.2481509,0,0.08503652,0.1674741,0.1813707,0.09069916,0.1779397,0,0,0,-0.07399627,-0.08828009,-0.06059777,-0.143346,-0.1499905,-0.1724012,-0.1871488,0,0,-0.1492009,0,-0.1731391,-0.192968,0.06054942,0,-0.08341722,-0.2303417,-0.1037972,0,-0.206064,-0.1311976,-0.3300602,-0.3266226,-0.252367,-0.217938,-0.2413399,-0.1333949,-0.1192924,0.647999,0.5945594,0.692064,0.6924962,0.6037171,0.7014548,0.6094599,0.6018021,0.2920912,0.2845324,0.2650635,0.407418,0.2140218,0.2033273,0.09249136,0.4197402,0.4739012,0.307954,0.3118802,0.5439793,0.367254,0.3191616,0.2688216,0.3276261,0.3199662,0.417166,0.4013973,0.2841473,0.1553805,0.2242203,0.05160359,0.1166014,0.3361065,0,0,0.09508912,0.1856954,0.1886149,0.2885059,0,-0.0587839,0.05448212,0,0.1482091,0.1540048,0.1287305,0
"Bin.0.78",0.4574065,0.9563711,1,0.7760601,0.7998906,0.8884163,0.8521806,0.8610504,0.6961459,0.5082541,0.6299871,0.4526975,0.700055,0.8016026,0.6358516,0.6406542,0.6692035,0.4933651,0.5566096,0.7185509,0.6178597,0.6289651,0.4663839,0.3008912,0.08766842,0.4425135,0.2848376,0.121442,0.1370614,0.2893506,0.06790545,0.1558151,0.1878722,0.1178467,0.242322,0.5668904,0.400765,0.09299778,0.1848151,0.3984037,0.3819551,0.2209434,0.09263283,-0.2235833,-0.1600299,-0.08091115,0.1445749,-0.07078642,-0.1813589,0,0.116421,0,0,-0.1254535,-0.08000864,0.05668954,0,0,0.07087313,0.06039286,0,0,0,-0.3896741,-0.3471445,-0.346929,-0.5060165,-0.3487571,-0.4132961,-0.449146,-0.2711916,-0.2801788,0.07737336,-0.1248604,0.1431231,-0.2570432,0,-0.06389083,-0.05111139,0,-0.636094,-0.3975225,-0.5429494,-0.6720366,-0.6552271,-0.1342664,-0.2295688,-0.4267313,0,-0.1630456,-0.118929,-0.3139716,-0.3517754,-0.3735945,-0.4013622,-0.3797459,-0.3582936,-0.2954722,-0.3408272,-0.5669592,-0.498756,-0.5673335,-0.669731,-0.6907904,-0.6514345,-0.6330151,-0.1842815,-0.1605889,-0.1635716,-0.2101668,-0.4970794,-0.1596869,-0.1100156,0.4321782,0.3996885,0.3682784,0.1782264,0.2729939,0.3482571,0.3621852,0.2593661,0.3244126,0.1303397,0.1880733,0.1488731,0.1006017,0.09302267,0.1141457,0,0,0,-0.1577967,0,0,-0.1297481,0,-0.1466577,-0.1079317,0.09176342,0.05599581,-0.05548199,-0.114227,0,0.1294359,-0.099636,0,-0.2332677,-0.2399241,-0.1363638,-0.08405145,-0.1148696,-0.05038812,0,0.6633857,0.6127922,0.7150728,0.7347882,0.663402,0.7154641,0.5989929,0.6109782,0.3764641,0.3294363,0.3119526,0.500777,0.2634545,0.2552362,0.1458969,0.458781,0.4904433,0.3394274,0.3692525,0.533754,0.4160445,0.3638698,0.3571225,0.429552,0.4080495,0.539321,0.4828265,0.3767659,0.1953446,0.2624529,0.1022467,0.1537554,0.4460714,0.1349426,0.128048,0.2081767,0.2151283,0.1678121,0.276203,0,-0.058208,0,0,0.1643375,0.1381117,0.1563651,0.05511228
"Bin.0.90",0.5015268,0.8626391,0.7760601,1,0.9557979,0.8307118,0.8949131,0.935687,0.8031711,0.6658592,0.7539781,0.5066903,0.796921,0.8813697,0.8037438,0.8426251,0.8617145,0.6772896,0.7470521,0.792109,0.6794372,0.7000507,0.5949749,0.3694317,0.3106721,0.5710405,0.6111297,0.251886,0.3236564,0.2812238,0.1472893,0.2195704,0.1906607,0.2943802,0.4777689,0.7325687,0.4801358,0.3019056,0.3846493,0.5412702,0.6051823,0.5246764,0.403481,0,0,0,0.2531954,0.3285693,0.2049809,0.4264828,0.466916,0.220331,0.2190546,0.1151944,0.222089,0.1972049,0.1758606,0.2473888,0.2915592,0.3161656,0.3233975,0.2424259,0.1727279,-0.1595309,-0.1005194,-0.0800484,-0.1225741,-0.1026563,-0.1426101,0,0.07169959,0,0.2833842,0.1137965,0.2570192,0,0.2775278,0.1982812,0.3232603,0.3244597,-0.6306652,-0.312391,-0.3244487,-0.4064538,-0.3934219,0,0,-0.2557096,0.1726632,0,0,-0.190506,-0.2157798,-0.2243914,-0.2490625,-0.1497633,-0.09449709,-0.1458897,-0.1336667,-0.6151208,-0.699043,-0.7616301,-0.7457123,-0.7699158,-0.749534,-0.7637076,-0.1895179,-0.2259468,-0.2625339,-0.3061876,-0.5255326,-0.1923612,-0.1883408,0,0,0,-0.1196238,-0.1569483,-0.09457333,-0.08184864,-0.144603,-0.05510331,0,-0.2103958,-0.2507647,-0.2921244,-0.3150667,-0.2943387,-0.3401247,-0.3524106,-0.2598834,-0.1334526,0,0,-0.1974895,-0.05110468,-0.1645864,-0.3022807,0,-0.05074425,-0.05672957,-0.3672166,-0.1008121,-0.1221129,-0.3187065,-0.2891001,-0.4179767,-0.4099973,-0.3592688,-0.3460478,-0.3555785,-0.2959482,-0.2560177,0.4988158,0.531571,0.5949129,0.5174582,0.4144295,0.5609542,0.5168207,0.4223273,0.1571907,0.08924952,0.1368144,0.1431606,0.1399765,0.1962181,0.09818818,0.4298148,0.4314636,0.2844283,0.2258073,0.4051795,0.2279101,0.1440893,0.05906961,0.149321,0.09930311,0.1091325,0.1997104,0.1822919,0,0.1533142,0,0,0.2627393,-0.1117624,0,-0.09906368,0,0,0.07639688,0,-0.1591462,0,0,0.2166756,0.2567541,0.1619974,0
"Bin.0.86",0.5187144,0.8968327,0.7998906,0.9557979,1,0.8225051,0.8567426,0.9270196,0.7591421,0.6102288,0.6871384,0.4866121,0.7008866,0.81393,0.7846272,0.8099734,0.7996295,0.649593,0.7210856,0.7670786,0.6779502,0.6883358,0.585852,0.3936981,0.2852074,0.5389281,0.5771551,0.2536745,0.3750832,0.2859153,0.1819579,0.2523479,0.1781412,0.251891,0.4440423,0.7162623,0.5064937,0.2416396,0.3309081,0.4788324,0.5370997,0.5082126,0.3771234,0,0,0,0.2688161,0.3688466,0.1303977,0.3442071,0.3884276,0.1644836,0.2057107,0.06634007,0.1750911,0.1847252,0.116633,0.1982416,0.2907761,0.2836894,0.3037281,0.208605,0.1723686,-0.1412266,-0.1198796,-0.1022487,-0.1960184,-0.1339286,-0.1872046,-0.1153728,0,-0.05073842,0.1978881,0,0.1768154,0,0.2434179,0.1717894,0.2814443,0.2673951,-0.6845757,-0.3266746,-0.3912991,-0.4529456,-0.4666576,-0.1446304,0,-0.2738039,0.1631669,-0.06505124,-0.1372524,-0.2021698,-0.225683,-0.2431542,-0.2673498,-0.2087441,-0.1551695,-0.1996801,-0.1849723,-0.6202434,-0.7037944,-0.795741,-0.7868237,-0.8139776,-0.7813016,-0.793927,-0.1738352,-0.1774962,-0.224392,-0.254423,-0.5043889,-0.1460121,-0.1443447,0,0,0,-0.07215744,-0.1353072,-0.05567542,0,-0.112848,0,0,-0.1815594,-0.2099016,-0.2667522,-0.2868272,-0.2551255,-0.3285571,-0.332387,-0.262989,-0.1582246,-0.05206821,0,-0.1950375,0,-0.1702397,-0.2968723,0,0,0,-0.3303083,-0.08391358,-0.06654315,-0.2685244,-0.2152263,-0.4165873,-0.4073733,-0.3482407,-0.3309832,-0.34462,-0.2445589,-0.2361609,0.5998777,0.5759984,0.6679041,0.5871828,0.4924015,0.6289367,0.6013226,0.5386141,0.1957639,0.2225655,0.2246085,0.2368872,0.2132629,0.2534054,0.05255529,0.3678306,0.4139428,0.3422593,0.282748,0.4456354,0.2723329,0.2230876,0.1237029,0.1916718,0.1311651,0.1564977,0.2566298,0.1155055,0,0.180126,0,0,0.2166362,-0.1540991,-0.05389158,0,0,0.06336611,0.1470692,0,-0.153004,0,0,0.1856058,0.2253665,0.1847924,0.070756
"Bin.1.02",0.3693017,0.8978119,0.8884163,0.8307118,0.8225051,1,0.9619385,0.8990352,0.8279292,0.6882324,0.7864025,0.5074756,0.7896578,0.8438642,0.6744597,0.6605351,0.7526167,0.4903019,0.5727431,0.7220448,0.5424643,0.5930112,0.5041652,0.3460465,0.1477558,0.4499352,0.3542502,0.1301115,0.1744323,0.3510994,0.147329,0.2102678,0.2263354,0.200954,0.332707,0.6307611,0.4343288,0.2299532,0.3789381,0.5960423,0.5714528,0.4180651,0.2922441,-0.2090464,-0.09004318,0.05583773,0.2169629,0.1151726,0.07994898,0.2156914,0.408632,0.1796904,0.1101537,0.07407915,0.1116245,0.299415,0.2014744,0.259909,0.3273995,0.2968499,0.2093039,0.2030148,0.1976212,-0.1618263,-0.1960932,-0.1960011,-0.39996,-0.2146142,-0.2819732,-0.3122723,-0.1244635,0,0.1437406,-0.08160693,0.1366287,-0.236495,0.1142423,0,0.1416643,0.2344523,-0.5775831,-0.3505938,-0.4268699,-0.5541332,-0.5345745,0,-0.1186617,-0.3118174,0.1287523,-0.08868339,-0.165422,-0.2932359,-0.3257099,-0.3410213,-0.3556874,-0.4250485,-0.3859155,-0.3951395,-0.4011024,-0.546744,-0.53294,-0.6128932,-0.6622271,-0.7098407,-0.6378491,-0.651102,-0.1069061,-0.1303838,-0.1962104,-0.2087394,-0.50564,-0.2132094,-0.2033403,0.2513864,0.2486738,0.1971568,0,0.06435824,0.1499625,0.1617812,0,0.1256042,0,0,0,-0.1070881,-0.1035048,-0.08992495,-0.1061924,-0.1687068,0,-0.1637239,-0.06664934,0,-0.1639624,-0.08435317,-0.1837723,-0.1590825,0.07031372,0,-0.06189729,-0.2585534,-0.07158512,-0.05936124,-0.2620167,-0.185424,-0.338902,-0.3391243,-0.2490101,-0.2254374,-0.2444823,-0.1910066,-0.1458756,0.595187,0.4993843,0.6280186,0.5879831,0.541851,0.5685321,0.5037026,0.5384257,0.303674,0.2827199,0.2215832,0.3219499,0.07969851,0.06861956,0.05600411,0.3878196,0.315766,0.2109138,0.2940865,0.4604307,0.349484,0.3050778,0.22839,0.3773689,0.3497314,0.381783,0.3683491,0.2626167,0.1117204,0.1861935,0.09132918,0.1077442,0.3228505,0.07305531,0.05054857,0.1374746,0.09422534,0.08921943,0.1224177,-0.1623114,-0.173297,0,0,0.1957365,0.1724854,0.08430245,-0.05527552
"Bin.0.98",0.4336793,0.8844055,0.8521806,0.8949131,0.8567426,0.9619385,1,0.9530965,0.8712294,0.7164037,0.7915886,0.507623,0.8191314,0.8861432,0.7074882,0.7132466,0.8120154,0.5453178,0.6342693,0.7447344,0.5916264,0.6282902,0.5362396,0.3585354,0.2058521,0.5509603,0.4738454,0.172241,0.1820645,0.3817243,0.197343,0.2365392,0.2683965,0.2916111,0.3627402,0.6774632,0.4258113,0.3392351,0.4734282,0.6355453,0.6270116,0.4874787,0.3567025,-0.1296682,0,0.09746073,0.2205712,0.1433499,0.1580186,0.3166911,0.4620804,0.2306601,0.1673706,0.1523446,0.1914072,0.3093441,0.2475311,0.3157224,0.3574604,0.3673528,0.2694082,0.2882912,0.2382774,-0.1574846,-0.1484595,-0.1284532,-0.3090188,-0.2087473,-0.219366,-0.2176308,-0.06755824,0,0.1937471,0,0.2253985,-0.2088145,0.1513319,0.06105525,0.2137007,0.3283304,-0.6209253,-0.3713726,-0.3759295,-0.5357388,-0.4765338,0,-0.1695563,-0.3044402,0.1134074,0,-0.060444,-0.2442664,-0.280905,-0.2902397,-0.3047588,-0.3424912,-0.2977336,-0.3275133,-0.3493711,-0.5546734,-0.6350938,-0.6893667,-0.7185397,-0.7575697,-0.7122218,-0.7205847,-0.1230248,-0.1686124,-0.2147669,-0.2723206,-0.5498422,-0.2233641,-0.2641435,0.1729951,0.1811291,0.1242442,0,0,0.0826679,0.0930837,0,0.08129292,0,-0.06238113,-0.1240611,-0.1610451,-0.1689633,-0.1566569,-0.1666529,-0.2249181,-0.05962602,-0.1571629,0,0,-0.2169397,-0.09087495,-0.1931056,-0.2080078,0,0,0,-0.3373685,-0.1252038,-0.09189641,-0.3040867,-0.2580056,-0.3425052,-0.3398073,-0.2566142,-0.2477041,-0.2590577,-0.2770514,-0.1937301,0.5553375,0.5526788,0.632949,0.5616897,0.5094886,0.5758815,0.5278267,0.4491321,0.287675,0.2475497,0.2460539,0.212637,0.07310378,0.1105906,0.1375065,0.4349081,0.3970499,0.2123487,0.2839737,0.4319946,0.2901166,0.2453059,0.1479091,0.3241653,0.2769341,0.3028406,0.3091271,0.2411548,0.06193335,0.1804474,0.1096904,0.0743423,0.3261451,0.05320188,0,0.06581541,0.07940851,0,0.09883235,-0.1309952,-0.1902983,0,0,0.2215007,0.1839822,0.08101553,0
"Bin.0.94",0.4775248,0.9309523,0.8610504,0.935687,0.9270196,0.8990352,0.9530965,1,0.8409207,0.6307098,0.7218808,0.4824096,0.7641447,0.8862035,0.7133236,0.7723314,0.8145399,0.6336635,0.6877993,0.7721789,0.6469682,0.6624107,0.5680396,0.3056556,0.2484149,0.5803673,0.5471725,0.267436,0.2695387,0.3967973,0.1956035,0.2906157,0.2455402,0.2700308,0.4431662,0.7170736,0.4964778,0.3244806,0.4336003,0.5637341,0.5897419,0.4704556,0.3667682,0,0,0.08760701,0.2726684,0.1866497,0.1020197,0.283925,0.3733572,0.1597006,0.1869344,0.1018134,0.157169,0.2366762,0.1661867,0.2376431,0.3089573,0.3137986,0.2860849,0.2865889,0.2139971,-0.2104362,-0.1645387,-0.2052408,-0.314014,-0.2908982,-0.270221,-0.2039623,-0.1228738,-0.1167654,0.1578053,0,0.2191831,-0.09354651,0.2217533,0.06960564,0.1141291,0.2249805,-0.7041405,-0.4811834,-0.4657228,-0.6085568,-0.5616589,-0.06140453,-0.1293002,-0.2771178,0.05969357,-0.08544972,-0.1162263,-0.2136278,-0.2487046,-0.2593643,-0.2809541,-0.290691,-0.2472989,-0.2754938,-0.2911757,-0.5887711,-0.6900194,-0.7482155,-0.7703786,-0.7952113,-0.7780285,-0.7802457,-0.1161142,-0.1395892,-0.1677469,-0.2133344,-0.5051675,-0.1507756,-0.2537966,0.1557264,0.1473176,0.1101968,0,0,0.07057536,0.08152805,0,0.0916102,0,-0.05692305,-0.123899,-0.1530194,-0.1763459,-0.1517378,-0.2001941,-0.2264334,-0.1380592,-0.1505526,0,0,-0.2064263,-0.06296202,-0.1933753,-0.2373834,0,0,0,-0.371055,-0.1610821,-0.0529469,-0.2704512,-0.2267119,-0.3375608,-0.3248151,-0.2592522,-0.2491554,-0.2603725,-0.2432587,-0.2155723,0.5988124,0.5926632,0.6823243,0.6117315,0.5353479,0.6648528,0.618709,0.5121454,0.2561814,0.2637444,0.251894,0.2188608,0.1733198,0.1940444,0.1606337,0.4396469,0.4982249,0.2650536,0.3371326,0.4704814,0.2789028,0.2293025,0.1116375,0.2364839,0.2011721,0.2782503,0.3008113,0.2655171,0.08006605,0.1917889,0.07789701,0.1174526,0.3071932,0,0,0,0.1371882,0.1107681,0.2104238,0,-0.1213017,0.05516898,0,0.1966802,0.1823488,0.08989796,0
"Bin.1.42",0.3284811,0.7562621,0.6961459,0.8031711,0.7591421,0.8279292,0.8712294,0.8409207,1,0.8135183,0.7911602,0.6062655,0.7994425,0.8353008,0.7473155,0.7606067,0.8728338,0.6490101,0.6482744,0.7044578,0.6347002,0.6948339,0.4522412,0.2840571,0.2378653,0.5175468,0.5287866,0.215063,0.3503475,0.4325424,0.2748327,0.3588521,0.255557,0.3017277,0.5944271,0.6972206,0.5463492,0.4530315,0.6208457,0.7067416,0.8577059,0.6895802,0.5795252,0.07328147,0.1260808,0.2801257,0.3840566,0.3609316,0.3975784,0.5349154,0.5492593,0.4283043,0.3490759,0.3853604,0.3705942,0.540728,0.4715898,0.5229637,0.5345741,0.5489046,0.5401307,0.5204301,0.4795402,0,0,-0.07569703,-0.2056046,-0.1678771,-0.087872,0,0.06195064,0.1350877,0.1449179,0.1510574,0.2368838,0,0.2909912,0.09536679,0.2409838,0.449376,-0.5271037,-0.440364,-0.329833,-0.4697856,-0.4355046,0.1095415,-0.07469045,-0.1817824,0,0,-0.1143283,-0.2822458,-0.3103106,-0.3121272,-0.3279642,-0.2847327,-0.2367331,-0.3625206,-0.3600073,-0.4937365,-0.5713366,-0.6160979,-0.6231817,-0.6494022,-0.6185281,-0.6305975,0,0,-0.13428,-0.2636677,-0.4784132,-0.157642,-0.3112531,0.1109194,0.1344241,0.08349269,-0.07761114,0,0,0,-0.09183237,0,-0.08731755,-0.1374592,-0.1774196,-0.2009236,-0.2055735,-0.1990589,-0.1739704,-0.2644727,0,0,-0.09256993,0,-0.1753426,-0.1102742,-0.1646495,-0.2596866,0,-0.1021909,-0.1272879,-0.4239184,-0.2396479,-0.1957579,-0.3539318,-0.34661,-0.3813887,-0.3673627,-0.293387,-0.3069215,-0.3086264,-0.3305427,-0.2516019,0.3629929,0.4094675,0.450683,0.3974556,0.319987,0.3952223,0.3685906,0.3288884,0.1215453,0.07468408,0.107481,0.052876,-0.06292611,0,0.1422333,0.2686499,0.282493,0.1421647,0.2439298,0.291902,0.3649073,0.2821417,0.1969361,0.2650993,0.2635351,0.2047202,0.2410885,0.143413,0,0.12201,0,0,0.1699196,0,0,0.06660461,0,0,0.1549004,-0.1287818,-0.1592131,0,0,0.195354,0.06228578,0,-0.1138228
"Bin.1.50",0.3616468,0.5556459,0.5082541,0.6658592,0.6102288,0.6882324,0.7164037,0.6307098,0.8135183,1,0.8180947,0.611854,0.8203551,0.7236961,0.683591,0.6658804,0.7187096,0.5899236,0.5823537,0.5764758,0.5388956,0.6450008,0.3355863,0.4407557,0.2083426,0.4450471,0.4885109,0.2146894,0.369636,0.4559348,0.3242265,0.3435822,0.295935,0.3633501,0.5959398,0.6423627,0.4714802,0.4923464,0.6527436,0.5403623,0.850132,0.5044933,0.4427029,0.05414821,0,0.3046124,0.2587672,0.410879,0.4711729,0.598587,0.6284378,0.5248985,0.4117043,0.4476372,0.5082279,0.5581637,0.5522102,0.4936962,0.5192794,0.6186154,0.5549086,0.4527408,0.4554251,0.06253603,0.1439911,0.1778407,0,0,0,0.2022021,0.2725781,0.3783633,0.2958552,0.1373927,0.1778878,0.08700533,0.3251758,0.1933591,0.3700196,0.4124019,-0.3542312,-0.1421359,-0.143636,-0.1442,-0.1508612,0.2134013,0,-0.1715282,0,0.1739704,0,-0.2417457,-0.2539704,-0.2580372,-0.2818613,-0.1221307,-0.07862744,-0.1732243,-0.1720857,-0.5358667,-0.4691621,-0.5235755,-0.5196393,-0.5601309,-0.5055313,-0.5229005,-0.1553786,-0.1409257,-0.272513,-0.3483002,-0.470156,0,-0.2325544,0.07437462,0.1088068,0.06955937,-0.114494,-0.06391889,0,0,-0.1170823,0,-0.08967396,-0.146929,-0.186019,-0.1996484,-0.1929774,-0.2004384,-0.1784054,-0.2400527,-0.1738305,0.1265498,-0.1365538,0.06751429,-0.2833273,-0.1520557,-0.1752875,-0.287157,-0.07274193,-0.1451179,-0.1629074,-0.3122013,-0.1729999,-0.2573312,-0.4087842,-0.3924086,-0.3309663,-0.3352999,-0.2718569,-0.2645904,-0.2708383,-0.3600983,-0.2022868,0.2767217,0.3390028,0.3728582,0.3163575,0.2504076,0.3515951,0.2656151,0.1895159,0.1161891,0,0,0,-0.08683162,0,0,0.2923942,0.2477538,0.1776535,0.05063209,0.1307732,0.2972117,0.1924255,0.2111799,0.1948814,0.2231919,0.0696819,0.1468509,0.0537758,0,0.08504881,0,0,0.1926211,0.1224851,0.06822763,0.05499625,-0.1666479,0,0,0,-0.09009142,0,-0.1670129,0.1416276,0.05060099,0.1204294,0
