"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Label","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient"
"Bin.9.98"," 0.6157804"," 0.8682182"," 0.6027447"," 0.6819093"," 0.7646203"," 0.6543171","-1.2742680","-1.4434649"," 0.3220743","-1.2714995","-1.3157487"," 0.6466956"," 0.3447461","-1.3780616"," 0.3294777"," 0.8351382","-1.2887204"," 0.6551366"," 0.6588669"," 0.3263265"," 0.3375837"," 0.3589774"," 0.7920781"," 0.6572004"," 0.6823797"," 0.8353076","-1.4798891"," 1.2892741"," 1.0730508"," 1.1425606"," 0.6876290"," 0.6208981","-1.6884081"," 1.1647426"," 0.3167920"," 0.8297932","-1.4855737","-1.6085305"," 0.7628473","-1.3001809","-1.2641739"," 0.4044036"," 0.6046464","-1.2965837"," 0.6431850","-1.4890642"," 0.3413431","-1.5185324","-1.4124272"," 0.6643819"
"Bin.9.94"," 0.7037147"," 0.4221527","-1.1145320"," 0.9047896"," 0.8504980"," 0.7417189"," 0.7365453","-1.3270772"," 0.4140669","-1.1574879","-1.2011257"," 0.7342028","-1.1753175","-1.1267243"," 0.4213680"," 0.7047137","-1.1744709"," 0.8783847"," 0.7462059"," 0.4182603"," 0.4293620","-1.1893859"," 0.4265265","-1.1682352"," 0.7693938"," 0.9202086","-1.3629982"," 1.3003090"," 1.2267458"," 1.2669553","-1.1982434"," 0.7087617","-1.4891595"," 1.1218760","-1.1476676"," 0.8352962","-1.2891293","-1.3539970"," 0.7128950","-1.1857730","-1.1502635"," 0.8105918"," 1.0741405"," 0.7585526"," 0.4155813","-1.3720464"," 0.4330694"," 0.8415715","-1.2964684"," 0.7516446"
"Bin.9.90"," 0.6026708"," 0.3261303"," 0.8015299"," 0.8001597"," 0.7468364","-1.3665366"," 0.7683501","-1.4699620","-1.2208273"," 0.6322344","-1.2681987"," 0.6326152"," 0.3401484","-1.3285546","-1.2280206"," 0.7370827"," 0.3393190"," 0.9506258"," 0.6444042"," 0.3223072","-1.2358947","-1.2566682"," 0.6399973","-1.2358947"," 0.3575400"," 0.8153038","-1.4271843"," 1.1769542"," 1.0455807"," 0.7679647"," 0.8057001"," 0.6076278","-1.5807722"," 1.1584890"," 0.6225892"," 0.7319057","-1.4880736","-1.4183436"," 0.7451191"," 0.8715093","-1.2182435"," 0.3979323"," 0.9017139"," 0.6565308"," 0.6292148","-1.4360711"," 0.7798765","-1.5980564","-1.2284068"," 0.6497460"
"Bin.9.86"," 0.7296084"," 0.7638593","-1.2610792"," 0.7960510"," 0.7407430","-1.5897004"," 0.8440204","-1.3392006"," 0.6171956","-1.3048394","-1.3492942"," 0.6222703","-1.3230028"," 0.2695790"," 0.3035782"," 0.9807786"," 0.3180572"," 0.9075598"," 0.6344981"," 0.3004123"," 0.3117218"," 0.3332150"," 0.6299272"," 0.3117218"," 0.6581202"," 0.8117588","-1.2948352"," 1.2103896"," 1.0506069"," 0.8436207","-1.5657253","-1.6006794"," 0.6019871"," 0.8213480"," 0.6118711"," 0.8636633","-1.5773532"," 0.2816977"," 0.8199243"," 0.8700563","-1.5168423"," 0.3788522"," 0.9013852","-1.3300401"," 0.7571435","-1.3040518","-1.3195751","-1.5530204","-1.3080213"," 0.6400387"
"Bin.9.82"," 0.5567514"," 0.5907015"," 0.2256516"," 0.7598141"," 0.7049859","-1.3308329"," 0.5899066","-1.3569141"," 0.2642402","-1.3228509","-1.3669201"," 0.5875409"," 0.6051553"," 0.6932780"," 0.2716135"," 0.8321631"," 0.6043003"," 0.8134090"," 0.5996627"," 0.2684751"," 0.5980029"," 0.3009932"," 0.2768230"," 0.5980029"," 0.6230799"," 0.9125936","-1.3129335"," 1.1208103"," 1.0996230"," 0.9746937","-1.7186823","-1.2975498","-1.7950104"," 0.7848917"," 0.7144309","-1.5055951","-1.5360542"," 0.7053409"," 0.8845978"," 0.6157141","-1.3155551"," 0.6646851"," 0.9003251","-1.3478330"," 0.8015047"," 0.2680863","-1.6118673","-1.8168641","-1.4632053"," 0.2868198"
"Bin.9.78"," 0.4819993"," 0.1810075"," 0.1315159"," 0.5517149"," 0.6389119","-1.7462820"," 0.5170955"," 0.2132221"," 0.5092662","-1.5076406"," 0.5608260"," 0.5145913"," 0.5332368","-1.4747540","-1.5105592"," 0.6282958"," 0.5323318"," 0.6687229"," 0.6726559"," 0.7439544"," 0.1887142"," 0.2112682"," 0.5226262"," 0.1887142"," 0.5522108"," 0.7134330"," 0.1667948"," 1.0935366"," 0.9861479"," 0.9244092"," 0.9331814","-1.8180832","-1.8622000","-1.9892094","-1.4971426","-1.6161247","-1.8403629","-1.7177103"," 0.7220015"," 0.7746081"," 0.1695605"," 0.2591581"," 0.7004464"," 0.7708154"," 0.7410812"," 0.1764349"," 0.7598328","-1.9133130"," 0.1805876"," 0.6784705"
"Bin.9.74"," 0.3762883"," 0.2211687"," 0.6292848"," 0.4752473"," 0.3928721","-0.2504093","-0.2582362","-0.2113223"," 0.5355786"," 0.4219640","-2.7200053"," 0.4225523","-0.2353900"," 0.1691551"," 0.2199744"," 0.1716772"," 0.5683199"," 0.6413271"," 0.4407660","-0.2629514","-0.2461071","-0.2140955"," 0.4339575","-0.2461071"," 0.4759512"," 0.2925042"," 0.5276474"," 1.0573289"," 0.9857836"," 0.5460969"," 0.6899502"," 0.3839469","-2.6241734"," 0.3923396"," 0.4070624","-0.3143251","-2.8535309"," 0.1872765"," 0.5963611"," 0.6710277","-0.2732925"," 0.5384633"," 0.3596260","-2.8974637"," 0.6234417"," 0.5413761"," 0.7164205","-2.8172909","-0.2576414"," 0.5696046"
"Bin.9.70","-0.02363568"," 0.61339838","-1.72144281"," 0.55932497"," 0.49800418","-1.77888753","-1.77304406"," 0.40431080"," 0.51447154"," 0.51966048"," 0.41550169"," 0.36665191","-1.79009838","-1.73521372"," 0.36929772"," 0.57655167"," 0.38539580"," 0.02005037"," 0.53365686"," 0.60898810"," 0.02234268"," 0.04617241"," 0.37514119","-1.93554671"," 0.40639923"," 0.06717732"," 0.59833212"," 1.04203363"," 0.96893529"," 0.67575586"," 0.80891806"," 0.69421574","-1.74791001"," 0.74082781"," 0.50856761"," 0.48083414","-1.91864567","-1.90214762"," 0.69888496"," 0.64137558","-1.91524623"," 0.60638350"," 0.82956690"," 0.82495233"," 0.71904398","-1.76908711"," 0.38255164"," 0.48792196"," 0.36974178"," 0.62956535"
"Bin.9.66"," 0.26409049"," 0.45467656","-1.93342684"," 0.49021298"," 0.42915842"," 0.54898510"," 0.30101076","-2.01967409"," 0.53492917"," 0.29794043","-1.87803302"," 0.45115674","-0.03649461","-1.79436356","-0.05342770"," 0.26521399"," 0.46982091","-0.04672027"," 0.46465631"," 0.53966048","-0.04443791","-0.02071164"," 0.54898510"," 0.46280788"," 0.49073469"," 0.50755271"," 0.59246396"," 0.98158072"," 0.85227484"," 0.84830548","-2.35911813"," 0.66470714","-2.04915720"," 0.87290600"," 0.43967598","-0.09499947","-2.06637401"," 0.42955380"," 0.70333550"," 0.68450825"," 0.53197037"," 0.62644325"," 0.64668033","-2.00956105"," 0.68942763"," 0.53922614"," 0.61977749","-2.25571628","-0.05298689"," 0.47077307"
