"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.98",-0.054303,-0.0064102,0.052312,0.058437,0.00073397,0.0029257,0.16049,-0.090975,-0.10489,-0.18032,0.011516,-0.033747,0.059841,-0.007103,-0.17793,0.048458,-0.005043,-0.00071318,-0.011158,0.087981,-0.06865,-0.06733,-0.055744,0.21277,0.028636,-0.073824,0.039084,-0.092956,-0.10606,0.054795,0.040835,-0.014794,0.14551,0.017457,0.10566,-0.0045439,-0.0033498,0.15158,-0.014928,-0.0040769,-0.079658,0.17969,-0.024166,0.1181,-0.18908,0.076674,0.021977,-0.14196,-0.11847,-0.086612
"Bin.9.94",-0.0060823,0.0023413,0.055289,0.074552,0.048705,0.012639,0.22127,-0.0060287,-0.071029,-0.1713,-0.001248,0.054047,0.0079584,0.0071908,-0.016187,-0.011382,0.067065,-0.14759,0.031119,0.054251,-0.17149,0.0057416,0.16297,0.1844,0.038423,-0.040262,-0.097404,-0.095009,-0.13955,0.023449,0.061431,-0.011815,0.092151,-0.074748,0.10095,-0.059452,-0.059939,-0.060178,-0.18948,-0.044274,-0.064314,0.17058,-0.18413,-0.03324,0.066718,-0.072997,-0.042602,0.073585,-0.0058336,-0.067498
"Bin.9.90",-0.046581,0.032734,0.053863,0.096098,0.021333,-0.024963,0.14251,-0.14117,0.045627,-0.12058,0.048825,0.035125,0.1013,0.035405,-0.098421,-0.002434,0.0027713,-0.09673,0.12521,-0.012893,-0.0764,0.101,0.096058,0.040473,0.1616,-0.15574,0.064232,0.1217,-0.021951,-0.037207,0.018194,-0.07294,0.0046368,-0.098828,-0.043096,-0.10386,0.064531,0.096958,0.12384,-0.12321,0.12112,-0.13435,-0.00027313,-0.068872,-0.092084,-0.0043522,0.11218,0.13073,0.19001,-0.0051355
"Bin.9.86",-0.044092,0.019803,0.039451,0.054623,-0.0018087,0.038815,0.1711,0.092649,0.014504,-0.11553,0.14843,0.052481,0.041224,-0.0061672,-0.10013,0.095322,-0.16277,0.035948,0.059212,-0.00066596,-0.15242,-0.076291,0.14919,0.18631,0.014714,0.12024,0.056348,0.0044964,0.15479,0.11391,-0.016913,-0.098585,-0.07619,0.10256,-0.060896,0.044693,0.073053,-0.13637,0.12686,-0.032649,-0.00017106,0.050818,0.080593,0.07235,0.1706,-0.0084464,-0.034922,-0.037147,0.018102,-0.049387
"Bin.9.82",-0.057632,0.002399,0.029801,0.088911,-0.041334,0.0087047,0.1592,0.044877,-0.061227,-0.082785,0.029988,0.039636,-0.020221,-0.042919,-0.10555,0.11157,-0.25892,-0.041601,0.05137,-0.069256,-0.00084052,-0.032027,0.070223,0.10783,-0.10455,0.14582,0.1784,0.11715,0.092082,0.11836,-0.052,0.077227,-0.097438,-0.010721,-0.13486,-0.044286,-0.049424,-0.0070558,0.18365,-0.13676,-0.041179,-0.032619,0.029411,-0.080037,0.06843,0.048467,-0.068517,-0.02416,0.003161,-0.033306
"Bin.9.78",-0.024838,0.017429,0.053216,0.14683,-0.058775,0.026322,-0.0038064,-0.056449,0.0071792,-0.065805,0.095994,0.0078998,0.15503,-0.046694,-0.06484,-0.084449,-0.14873,-0.096468,-0.063874,0.012584,0.0035709,0.21974,0.0021379,-0.058702,-0.15487,0.069125,-0.045145,-0.026188,-0.21487,0.045666,0.046666,0.3224,0.011889,0.0116,-0.012532,0.0076492,0.060129,-0.19176,-0.03364,-0.14011,-0.0051927,-0.10102,0.13199,0.075783,0.016506,0.14701,-0.070897,-0.031779,0.028639,0.16659
"Bin.9.74",-0.080561,0.024193,0.055539,0.10078,-0.0055507,-0.010041,0.10108,-0.038183,-0.066291,-0.01307,0.10063,0.00049998,-0.009006,0.025785,-0.11088,0.17467,0.038068,-0.055769,-0.034017,-0.13716,0.10099,-0.015455,-0.19826,-0.096616,-0.13442,-0.018983,0.061097,0.1067,-0.037148,0.12788,0.022095,-0.11383,0.1285,0.0076434,-0.16723,0.0068033,-0.00097392,0.06608,0.07143,0.049073,-0.041402,-0.028985,0.032726,0.081453,0.024466,0.052271,-0.076677,-0.03318,-0.092522,0.16249
"Bin.9.70",0.015203,0.038736,0.022857,0.13478,0.05323,-0.049113,0.10324,-0.037019,-0.024635,-0.10099,0.097587,0.023463,0.11155,0.11495,-0.14696,-0.090898,0.17455,-0.022647,-0.038702,0.036456,-0.16614,-0.07153,-0.030239,-0.06985,0.0034432,0.10965,-0.04507,-0.10867,0.054531,-0.18484,-0.14279,0.048735,-0.079466,-0.061668,-0.055608,-0.098742,0.084758,-0.012117,-0.099276,-0.070011,0.068404,0.025512,-0.045626,0.2085,0.0017486,0.0052817,0.18275,-0.11851,0.073604,0.060507
"Bin.9.66",-0.05596,0.049161,0.034868,0.096138,-0.017701,0.08096,0.14484,0.09124,-0.058159,-0.098407,-0.037612,0.092209,0.022746,-0.034255,-0.053693,0.17093,0.033915,-0.026332,0.0043999,-0.041911,0.030721,-0.028912,-0.19323,-0.078884,-0.15184,-0.095313,0.070887,0.028692,-0.023412,0.0007165,0.11646,-0.13765,-0.02685,-0.0086612,0.024231,-0.018532,0.078262,-0.10037,-0.0058389,0.054759,0.048914,0.03998,-0.1249,-0.18936,-0.089386,0.062804,0.052794,-0.072932,0.071436,-0.10807
"Bin.9.62",-0.066031,0.052824,0.03732,0.10556,0.012791,-0.013933,0.15489,-0.037267,-0.030219,-0.098106,0.12147,0.022651,0.032608,-0.020281,-0.061032,0.075657,0.04145,0.08769,-0.025695,-0.025038,0.1169,0.063464,0.10636,-0.14364,0.10638,0.097672,-0.097861,0.088266,0.037983,-0.12937,0.12952,-0.11248,-0.13124,-0.0025049,0.062317,0.055757,-0.0020483,0.005332,0.040931,-0.10965,-0.046554,-0.004603,-0.0094384,0.12397,0.099701,0.0019272,-0.025588,0.16484,-0.011457,-0.038968
"Bin.9.58",-0.057186,0.037312,0.044629,0.099592,-0.005254,0.02966,0.20467,0.044876,0.047036,0.059774,0.10065,0.019895,0.048893,-0.0075675,-0.075021,0.10709,-0.020843,0.062609,-0.087804,0.06735,0.068603,-0.054647,-0.01247,-0.19726,-0.0092156,0.081923,0.027229,0.029905,-0.069878,0.11288,0.084333,-0.030196,0.022566,-0.14429,-0.017635,0.2014,0.12688,-0.024184,0.1371,-0.011791,-0.10686,-0.060642,-0.1109,0.1268,-0.068105,-0.055045,0.054444,0.053704,0.02272,0.22618
"Bin.9.54",-0.03986,0.04639,0.03386,0.11277,-0.035861,0.0058906,0.086662,-0.025209,0.043276,-0.12485,0.099107,0.028881,0.071544,0.088117,0.075556,-0.0031979,-0.031277,0.077416,0.019822,0.061049,0.081228,0.32435,-0.032862,-0.19929,0.005916,0.014274,-0.039891,-0.040754,0.13621,-0.0032584,-0.17517,0.1329,0.13655,-0.12817,-0.088703,-0.15283,0.027218,0.07652,-0.00042892,0.178,0.049267,0.0931,-0.001212,-0.14935,0.14726,0.066122,-0.056362,-0.082606,-0.14118,-0.0092484
"Bin.9.50",-0.050475,0.073972,0.060152,0.016556,-0.046751,0.041036,0.097219,-0.00031343,0.048419,-0.14091,0.11225,0.086366,0.076262,0.00010379,0.11923,0.087013,0.087909,-0.030476,-0.058599,-0.043108,0.062218,0.012598,-0.22255,0.0055982,0.01018,-0.20798,0.079562,-0.040961,0.077023,0.090528,-0.008789,0.05979,0.016431,0.19112,0.029789,0.11378,-0.061416,0.033354,-0.1469,0.038283,0.044188,-0.14556,0.034884,0.080074,-0.036726,-0.064835,-0.098978,0.039762,-0.042524,0.075417
"Bin.9.46",-0.054923,0.059364,-0.001918,0.041711,-0.10189,-0.014423,-0.0025852,-0.062121,0.058961,-0.038459,0.053345,-0.079025,0.064553,0.12464,-0.085348,-0.15861,0.068173,-0.1309,0.10276,-0.074419,-0.15273,0.1138,-0.15522,0.16249,0.051246,-0.050624,-0.021509,-0.091613,0.11754,0.076858,-0.11366,-0.062803,-0.049506,0.033186,-0.017357,-0.076442,-0.13985,-0.054765,0.17318,0.049565,-0.17902,0.080962,0.19827,-0.21236,-0.03967,-0.080616,-0.097161,0.10783,-0.081051,0.080765
"Bin.9.42",-0.045232,0.085599,0.019011,0.041274,-0.050265,0.055232,0.12732,0.074546,0.086598,-0.1384,0.051619,0.11101,0.053317,-0.05791,0.067928,-0.046954,0.078241,-0.026057,-0.069835,-0.0033129,0.070832,0.087949,-0.13394,0.03659,0.072297,-0.073775,0.045736,0.021311,0.12155,-0.051701,0.035708,-0.038958,-0.16019,0.19105,0.057328,0.046998,-0.12516,0.08721,-0.04862,-0.02987,0.11031,0.03652,0.031348,0.029918,-0.16031,-0.098969,0.020563,0.082476,0.022857,0.16905
"Bin.9.38",-0.10119,0.091689,0.03391,0.057219,-0.068819,0.028306,-0.0015148,0.064271,0.086019,0.02761,0.036667,-0.019378,0.030062,-0.040377,0.0050292,-0.058802,0.050922,-0.028111,-0.062358,0.077151,0.0076824,0.017013,0.018862,0.05332,-0.015195,-0.0016086,0.0090717,-0.022264,0.022903,0.004919,0.016302,-0.0061464,0.022071,0.067284,-0.039821,0.04671,0.053422,0.052372,0.11627,-0.011204,0.12198,0.04395,-0.039664,0.079583,-0.027593,-0.059018,-0.049534,0.055862,-0.080658,-0.29166
"Bin.9.34",-0.045784,0.068186,0.02752,0.15812,0.017359,-0.020359,0.089766,0.064851,0.064756,-0.014057,-0.025664,0.12231,-0.020736,-0.058445,0.0069972,-0.05229,0.10886,-0.11881,-0.15803,0.062548,0.041275,-0.025553,-0.087462,-0.10667,0.039874,0.039232,-0.049838,0.084437,0.13835,-0.024908,0.047575,0.01063,0.12438,0.016199,0.032458,-0.13504,-0.027347,0.12316,-0.055362,0.0040517,-0.01381,0.065721,0.025572,0.10289,0.0010746,-0.077789,-0.066056,0.043072,-0.055162,-0.2282
