"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"C002",-4.1262,-2.6211,1.4245,-1.1103,2.8292,-1.1499,3.2911,-1.1453,0.53031,-0.62657,0.6145,-2.3796,1.1526,-3.1042,0.22608,-2.1404,-1.4123,0.46568,-2.2052,-0.63121,-1.0202,1.0582,0.80043,1.1377,-3.305,-1.5614,-2.1665,1.6947,1.473,-0.42034,-0.13547,-0.62898,-0.69252,-0.9824,-0.21101,0.47922,0.82635,0.3282,0.10561,1.6747,-0.19239,-0.23776,-0.54202,-0.13591,0.094446,0.33215,0.19467,0.15191,-0.094496,-1.6376e-15
"C004",-1.722,-2.8931,-0.079415,2.5352,1.9226,-1.1457,1.3338,2.1276,1.3907,0.30866,-0.24986,-0.84414,1.2292,0.041283,-2.0999,-1.0005,-0.56999,3.3747,-0.087419,0.59766,-0.20291,0.11274,-1.119,1.8094,-0.48075,-0.17967,1.9484,-0.52601,0.82525,0.39355,1.1825,-0.36366,1.1043,-1.1138,-0.32973,-0.1196,-0.8565,0.14142,-2.467,-0.67215,0.93064,-0.99848,-0.088898,-0.08727,0.56169,0.25351,-0.31146,-0.040067,0.59109,-1.249e-15
"C005",-5.7027,-3.6391,-3.2797,-3.0217,-0.95964,-6.8508,3.1992,-4.5351,3.5227,1.3952,0.50355,-1.189,-0.89957,-1.2751,0.2829,-0.061363,-2.6491,-0.66463,-2.4964,1.0025,2.7908,1.3447,-0.96285,0.061704,1.6867,-0.49098,-0.22089,0.53786,-0.93569,0.48493,-0.76678,0.44031,0.77624,0.47725,0.21847,0.098979,-1.3622,1.7622,0.50174,-0.33915,-0.085384,-0.4294,0.48667,0.19709,-0.23909,-0.34365,-0.33713,0.075012,-0.05017,-3.5388e-16
"C006",2.388,-3.1976,-3.6695,3.3898,-7.0109,1.2191,0.95275,-1.7228,0.21989,0.26521,0.99454,2.2242,-0.14207,-3.1713,-1.9158,4.9499,1.6771,-0.75888,-0.99782,-1.8312,-2.8914,2.0943,1.179,0.7982,1.8484,0.58692,-0.071909,-0.65161,0.82473,-1.5682,-0.060555,0.93766,0.74851,0.45995,-0.68017,-0.10199,-0.055482,0.54508,-0.61734,0.74504,-0.39128,-0.42098,-0.60238,-0.042274,-0.15185,0.033059,-0.099921,-0.024713,-0.026606,-1.1102e-16
"C007",-6.4657,-6.0164,3.333,-4.3813,0.87364,0.81288,3.6302,-0.49863,-2.827,-1.6288,1.3169,0.46346,-0.31388,-3.5593,0.56713,-3.0009,1.2376,-0.98413,0.78622,1.1395,-2.8426,0.96115,-1.4126,-2.4993,-0.020893,1.2528,0.79579,-0.034811,0.79166,-0.14692,0.30412,0.36861,1.1873,0.36989,0.32494,-0.097703,0.57914,-0.17024,1.2773,-0.88576,0.11199,-0.88842,0.29944,-0.38718,0.69684,-0.27349,-0.27565,-0.70056,0.28507,-5.5511e-16
"C009",-0.9656,-4.4231,-3.1864,-0.70246,-4.4629,0.1461,-0.78572,-0.42501,-1.3528,-0.3341,-1.8594,0.97838,-3.1897,0.19995,2.6308,0.3386,3.3022,-1.1128,-0.49443,0.081673,-0.72426,-1.8713,-0.61555,2.1265,-1.3299,-1.281,-0.50472,-0.078764,-1.2395,0.63397,0.76699,-0.62475,1.3027,0.086924,1.3255,0.93826,-0.17678,0.79932,-0.24342,0.28999,0.70753,0.68427,0.58087,-1.6036,-0.096217,0.39513,-0.15331,-0.46017,-0.27828,-1.3739e-15
"C010",-2.4202,-3.7061,0.76579,1.2758,-0.61874,1.3215,-0.65062,0.70026,1.9966,-0.011238,1.3396,2.1573,0.31002,-1.1073,1.3398,0.1466,-0.97034,-1.3575,0.29662,0.21958,0.41312,1.0181,2.0741,-0.8233,0.94045,-0.95352,-0.31118,0.55338,0.50165,1.6551,0.58201,-1.115,-0.08445,-0.44395,-0.21415,-0.28571,-0.3784,-1.8733,-0.037208,-0.10569,-0.075509,0.27865,-0.081676,-1.4217,-0.24629,-0.8703,-1.3407,1.0249,0.23049,-1.1657e-15
"C011",3.3465,-6.6869,-0.01084,3.4691,-0.32901,2.4709,-2.3376,-0.36119,2.5383,9.1759,0.62996,-1.5998,0.60588,1.5704,-1.5236,-1.8236,2.3771,-1.6071,-0.9699,1.427,-0.97428,-1.3702,0.53768,0.65435,-1.8316,0.97973,-0.21826,-0.12705,-0.22816,1.1576,-1.0119,0.25252,1.357,0.17832,-0.77231,-0.51237,0.22994,-0.06388,0.67689,-0.23768,0.036635,-0.34594,-0.697,0.66119,-0.27739,-0.29191,-0.21851,0.072587,-0.15863,-1.1102e-15
"C012",-2.8901,-2.3739,-0.23477,3.4669,1.7629,0.089099,-1.0143,5.8505,-2.7416,-1.0508,2.2434,-0.20668,-3.1339,-0.20788,-2.0532,-0.048206,1.0621,1.003,-1.5829,-1.2828,0.96424,1.4968,-0.24444,0.13535,-0.064828,-1.2496,-1.897,-3.0238,0.9679,1.4477,-1.391,0.83322,0.018931,-0.40699,1.2825,0.65824,-0.85428,-0.73124,0.63417,-0.55448,-0.27235,-0.34179,0.27889,0.23085,-0.06016,0.051544,0.56641,0.20248,0.046978,-9.7231e-16
"C015",-3.9748,-3.8851,-0.83921,0.13448,-0.93612,0.95015,-0.21147,0.76843,0.4618,1.8301,-0.34884,-0.42201,-0.077348,1.9225,-1.0145,-0.91872,2.2688,-0.75491,-1.2553,-1.1565,1.3084,-0.55537,0.86482,-2.9754,1.9563,-2.4267,0.9355,-0.34862,-0.069841,-1.0139,-0.55592,-1.5404,-1.1644,-0.44531,-0.66388,-1.0874,-0.18546,0.22642,0.11963,1.1068,1.5275,-0.52084,0.075613,-0.35741,0.81611,-0.13326,0.59143,-0.45978,-0.098442,-4.8572e-16
"C016",3.6531,-4.2441,-3.086,1.0578,-4.6379,-1.0702,-4.594,-0.16776,2.3748,-2.6746,-1.8111,1.6456,1.5162,-0.80731,2.4079,-3.2794,0.33506,-0.82959,-0.85982,1.8434,-0.87734,-0.95562,-0.50273,-0.43514,0.23155,-0.36353,1.6369,-0.82789,1.3591,-0.24492,-1.6991,2.026,-1.3602,-0.52432,0.28553,1.1653,0.70725,0.24877,-0.73566,0.48195,0.15961,0.5598,0.58444,0.64699,0.20037,-0.35554,-0.24441,0.44757,0.073837,-1.5821e-15
"C017",-6.8343,-3.8673,5.7272,0.27251,2.2961,0.010867,1.1513,2.861,-1.0806,1.6309,1.2176,-0.56237,3.4509,0.24793,1.3913,-0.39718,-1.8385,-1.15,1.5731,-1.2872,-1.5714,-1.1883,0.47448,-1.7741,0.21703,0.25575,0.27512,0.10754,0.0088816,-0.91086,-0.87728,0.42616,1.0845,0.92748,1.5397,-0.55971,-1.3238,0.65162,-0.5795,0.51363,0.55168,0.71133,0.10505,-0.062053,-0.97769,1.0579,0.26976,0.82074,0.15102,-1.3253e-15
"C019",0.26236,-4.3019,-5.4285,-1.5254,-2.691,-0.96674,-4.2863,-1.0323,-1.33,-0.91959,-5.0536,-1.8198,-0.12657,-0.637,-5.0893,1.4317,-2.6384,-1.3175,3.1702,-0.68061,-0.68774,1.242,0.047685,-0.6942,-1.8407,-2.8016,0.72076,0.80441,-0.76911,0.22809,0.35195,0.64508,0.40922,-0.29092,0.4223,-0.53899,0.35336,-0.11718,0.73162,-0.54119,0.35588,0.20166,0.014226,0.38455,-0.039987,-0.016735,0.030858,0.15896,0.2272,-6.5226e-16
"C020",-7.6805,-5.3127,-3.1497,-3.5971,-0.072279,-2.7918,1.1748,-0.036645,-0.93679,4.8614,0.51397,-3.7649,-3.4158,0.52071,1.0059,0.19868,-0.76366,-0.75335,2.6072,-2.7872,-0.36593,-0.14882,1.6233,-0.30452,0.39772,1.8778,0.66012,-0.61761,0.20145,0.24316,0.44274,-0.40438,-0.95553,-0.81442,-0.79627,1.6023,0.23432,-0.15861,-0.58303,0.029413,-0.90643,0.44531,1.0265,0.35918,0.71805,0.34079,-0.15858,0.039191,-0.10772,-9.7752e-16
"C021",-4.4579,-4.2878,-3.0227,-1.4558,1.5965,-2.7308,-0.93084,0.73083,-1.4445,-3.6632,-2.4953,0.3495,-0.52407,0.164,-1.2924,-0.19229,1.48,-0.6743,0.6352,-1.1681,0.93897,-2.5667,-0.36392,0.53522,-0.86262,1.5637,-1.8721,0.28247,1.1037,-0.16692,-0.11043,-0.49035,-0.86988,2.4467,0.062076,-0.86903,-1.292,-0.12707,-0.38604,0.32795,0.028007,-0.092511,-0.73698,0.76289,0.8394,-0.37755,-0.95573,-0.0051785,-0.052692,1.4017e-15
"C022",-5.616,-5.9426,-0.083351,-4.1046,0.018215,2.4686,3.0656,-1.6881,1.3853,-2.4853,1.7338,1.8142,-0.45313,2.3366,-0.71566,-0.30269,1.0704,3.1005,0.092532,-1.4302,-1.1968,1.1386,0.75483,0.48905,-1.7167,0.99375,0.81917,0.036118,-3.1982,-0.19316,-1.4813,0.4762,-1.9324,0.16016,-0.42596,0.59616,-0.30909,-0.29719,0.1723,-0.34083,0.89149,-0.14704,-0.35654,-0.017518,-0.85493,-0.23564,-0.27441,-0.02874,0.22579,-5.5511e-16
