"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.9.98",-0.035359,0.065913,-0.031848,-0.022375,0.029009,-0.092595,0.151,-0.00024044
"Bin.9.94",0.0018641,0.023951,0.00080669,-0.062866,0.010929,-0.0555,0.053323,-0.11515
"Bin.9.90",0.0025306,0.077312,-0.043146,0.012497,0.026391,-0.12952,0.16095,-0.033021
"Bin.9.86",-0.012342,0.031999,-0.072872,-0.10068,0.014594,0.015073,0.14071,-0.084072
"Bin.9.82",-0.038255,0.023079,-0.080539,-0.039525,0.065764,-0.038256,0.12022,-0.065275
"Bin.9.78",-0.0058194,-0.0042731,-0.064569,-0.057233,0.0089149,-0.23519,0.2313,-0.057072
"Bin.9.74",-0.028123,0.089433,-0.081177,0.0087509,0.10238,-0.040765,0.16078,-0.10477
"Bin.9.70",0.039435,-0.015529,-0.026974,-0.0428,-0.025803,-0.055995,0.20447,-0.10923
"Bin.9.66",0.0046795,0.057743,-0.088447,0.01928,0.10338,-0.011423,0.057308,-0.17892
"Bin.9.62",0.0033289,0.078744,-0.09201,0.0077802,0.057197,-0.027867,0.17754,-0.10174
"Bin.9.58",-0.0059775,0.05158,-0.089899,-0.045323,0.061098,-0.012469,0.17619,-0.1129
"Bin.9.54",0.010623,0.032157,-0.080477,0.014004,0.074171,-0.093347,0.12269,-0.098337
"Bin.9.50",0.033081,0.085782,-0.081724,0.0078276,0.11691,-0.036859,0.00020417,-0.066131
"Bin.9.46",0.0083897,0.029788,-0.11681,0.022406,0.023351,-0.11383,0.12901,0.092904
"Bin.9.42",0.039686,0.048677,-0.11288,0.0011979,0.065348,-0.0086968,0.036509,-0.069732
"Bin.9.38",0.010073,0.099891,-0.16977,-0.022047,0.052814,-0.065954,0.09101,-0.027801
"Bin.9.34",0.024222,0.039459,-0.10513,0.00058867,0.062408,-0.035729,0.11388,-0.17483
"Bin.9.30",-0.011995,0.044714,-0.16197,0.028415,0.019325,-0.013387,-0.0057345,-0.032036
"Bin.9.26",0.0068777,-0.04317,-0.067458,-0.012069,-0.018778,0.1235,-0.039265,-0.13724
"Bin.9.22",0.047293,0.089608,-0.081452,0.062939,0.095976,-0.052813,0.033048,-0.048226
"Bin.9.18",0.027049,0.11063,-0.073514,0.02892,0.090968,-0.084144,0.11178,-0.11682
"Bin.9.14",-0.056434,0.084147,-0.070248,0.099519,-0.0070278,-0.011834,-0.042731,0.045852
"Bin.9.10",-0.016909,0.12619,-0.16576,0.039284,0.051614,-0.053887,0.020543,0.040754
"Bin.9.06",-0.0082217,0.12364,-0.14897,0.075796,0.037079,-0.078948,0.0091017,0.055438
"Bin.9.02",0.0076029,0.12243,-0.16622,0.030407,0.055282,-0.019599,0.0064553,-0.0018713
"Bin.8.98",0.064053,-0.03659,-0.11424,0.15645,-0.0024872,-0.030636,0.14195,-0.074128
"Bin.8.94",0.027986,0.12153,-0.16104,0.030488,0.071784,-0.03502,0.069884,0.0021604
"Bin.8.90",0.045589,0.015984,-0.15619,0.10391,0.014033,-0.032803,0.10458,-0.058711
"Bin.8.86",-0.018423,0.083419,-0.084229,0.10635,-0.037677,0.011861,-0.055689,0.061616
"Bin.8.82",-0.048041,0.10186,-0.090423,0.065776,-0.030046,0.021253,-0.049639,0.055372
"Bin.8.78",0.092165,0.064022,-0.053371,0.0077665,-0.094387,0.081966,-0.10296,-0.014127
"Bin.8.74",0.073996,0.091704,-0.026768,-0.10044,-0.02058,0.085163,0.024701,-0.1061
"Bin.8.70",0.07548,0.0674,-0.025751,-0.084464,-0.0018652,0.071401,0.037518,-0.13201
"Bin.8.66",0.12563,0.064702,-0.068683,0.023262,-0.028702,0.096776,0.015731,-0.12174
"Bin.8.62",0.074821,0.064864,-0.034389,-0.076934,-0.038795,0.080538,-0.062787,-0.12884
