"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C002",-3.5763,2.1966,-0.72866,-4.4511,-4.7541,-2.5987,-0.82484,0.078071
"C004",-3.5573,-1.0795,-1.3899,-1.8727,-0.68353,1.1857,0.80673,-2.0875
"C005",-6.2176,0.23732,-1.9567,0.8493,-1.0407,0.40016,-1.2703,4.1436
"C006",-3.4621,-6.58,-1.9768,3.8064,2.1932,-2.422,-0.41554,-0.5541
"C007",-6.9271,4.0644,1.4094,-3.7864,-1.7159,-0.49298,0.44384,2.9809
"C009",-5.0735,-2.7298,-0.017692,3.5138,1.7767,-1.1927,-3.3103,-1.0291
"C010",-4.3277,-0.19378,-0.27086,-0.92316,-0.59431,-1.8892,-0.83026,-1.9505
"C011",-4.3239,-3.6554,2.5283,-1.3231,-2.0726,-2.7943,1.9681,-0.26117
"C012",-4.1526,-2.0459,-4.0474,-3.0343,-0.40181,2.6876,1.6174,-2.9489
"C015",-5.4342,-0.14877,-1.1336,-0.10613,-0.46206,-0.50936,-0.38932,-0.63793
"C016",-3.2461,-6.1564,-0.62106,1.0766,-0.26042,-2.5066,-1.0465,1.9828
"C017",-5.4869,3.883,-0.83587,-5.0584,-0.098161,-0.16648,-0.33226,-2.8644
"C019",-4.5763,-3.7632,-0.50499,1.8511,-2.3674,-1.6489,-1.2074,3.2809
"C020",-8.3399,1.2311,-1.5617,0.93111,0.32134,3.6814,0.0041059,2.3422
"C021",-5.8205,0.66063,-0.025439,1.1264,-0.66969,1.5314,-2.6074,-1.6285
"C022",-6.8051,3.3197,2.4992,0.089768,-1.6042,-1.3926,-2.0517,-0.4131
"C024",-4.7566,-3.4091,-3.6847,0.24327,1.5694,1.7036,1.5132,-2.4798
"C026",-8.08,0.34473,0.50522,-0.43622,0.84896,0.29322,1.7226,2.2709
"C028",-5.1441,-3.8059,-3.2575,-1.546,4.4062,4.1643,1.2459,-1.9089
"C029",-4.2863,-1.0458,-1.4555,1.6048,-1.2689,-1.7828,-1.715,-0.93626
"C030",-5.6809,0.24563,-0.34919,-2.0511,-0.72685,2.3028,-0.57289,-1.6251
"C031",-2.6414,-5.3485,-0.5537,-2.4209,-1.8068,-1.0134,2.9564,1.1828
"C032",-5.9267,-1.5409,-0.98667,0.87953,-0.9981,-0.76471,-0.1636,0.0032508
"C033",-7.1698,-3.3309,0.20736,3.9946,1.8909,-1.6151,1.9948,3.7646
"C034",-2.3547,-3.6853,-5.8666,-2.9896,1.8331,-0.059112,-0.70945,-3.8521
"P002",5.1232,0.99531,4.41,-2.2985,4.1764,-4.6265,2.6367,-2.108
"P012",9.4898,-2.9312,-6.7396,0.24151,-1.2203,3.7994,-0.31475,1.3416
"P014",5.471,1.3971,-1.8956,0.63184,1.1243,-1.1587,2.8002,-0.56671
"P027",1.505,1.8366,-1.0386,1.3133,1.2333,1.5944,1.1337,1.8831
"P034",4.7698,6.5124,2.4333,-3.3026,-1.7907,-2.8918,0.14506,-1.0614
"P037",0.98208,5.7049,8.4071,0.92703,1.1708,-4.1923,1.7496,2.9941
"P038",4.5766,3.0222,-0.58376,1.6688,0.48314,1.4627,-1.5366,-0.64221
"P041",10.081,-0.92746,-1.1859,-6.193,-3.3925,4.2559,-1.4272,4.9762
"P042",2.1356,1.6512,-2.1954,3.1986,0.8705,2.7357,1.7544,4.0847
"P049",2.2353,4.3165,1.6544,1.6773,-0.011105,3.7043,1.1384,-1.0843
"P056",-0.15016,6.16,3.4554,2.1478,0.33755,2.2362,-0.15785,-0.004245
"P058",1.7543,4.7217,6.3646,1.1373,0.97269,1.0071,-2.7425,1.953
"P060",3.2646,3.7351,1.5183,1.2155,0.58337,0.91442,-1.9229,-2.8395
"P064",6.2076,0.85538,-3.3873,0.62475,-0.12761,-0.16236,1.7039,1.3739
"P065",8.1044,-2.8943,-3.0379,3.7641,2.2099,-1.1003,-0.94092,-3.5256
"P070",2.4643,4.152,3.6752,1.137,2.3682,1.2269,-1.1296,-1.4503
"P080",8.3501,-1.6356,-0.45284,-7.1565,9.3474,-2.2177,-3.0284,3.623
"P085",6.9629,4.4159,-4.4615,2.7936,-4.1328,-1.698,-1.832,-1.0444
"P086",8.0847,-3.335,-2.8707,1.8574,-2.0926,-1.3287,1.4265,1.1771
"P089",8.6009,-0.83865,-4.6666,0.68284,-0.88168,0.6331,2.2961,-0.32161
"P092",1.1507,4.3603,3.1188,2.0976,2.8984,1.2678,0.37779,0.086617
"P099",-0.71649,8.6924,6.5373,1.2767,-0.4519,0.27724,2.4103,-2.0551
"P113",6.946,-13.609,24.152,-0.41186,-2.3942,3.0139,-0.36703,-1.5689
"P013b",10.224,-3.4903,-5.4628,0.71538,-0.91943,-2.2576,-1.3929,1.231
"P100b",9.7504,-0.53196,-3.6732,0.28664,-3.6753,-1.5964,0.39342,-3.3048
