"","Bin.8.02","Bin.8.18","Bin.9.26","Bin.9.70","Bin.9.94","Bin.7.10","Bin.7.94","Bin.7.70","Bin.7.02","Bin.7.06","Bin.7.46","Bin.0.38","Bin.9.46","Bin.6.90","Bin.8.90","Bin.9.18","Bin.9.34","Bin.9.42","Bin.9.50","Bin.9.22","Bin.0.46","Bin.0.50","Bin.0.30","Bin.0.42","Bin.0.34","Bin.0.22","Bin.0.26","Bin.6.82","Bin.7.78","Bin.8.46","Bin.8.34","Bin.8.98","Bin.7.74","Bin.8.06","Bin.8.10","Bin.8.50","Bin.8.70","Bin.8.74","Bin.8.62","Bin.8.78","Bin.8.14","Bin.8.30","Bin.8.58","Bin.8.66","Bin.8.26","Bin.8.38","Bin.8.42","Bin.6.86","Bin.7.50","Bin.6.58","Bin.6.62","Bin.6.54","Bin.6.34","Bin.6.42","Bin.8.82","Bin.9.14","Bin.8.86","Bin.7.14","Bin.8.54","Bin.9.58","Bin.9.62","Bin.9.66","Bin.9.74","Bin.9.82","Bin.9.86","Bin.9.98","Bin.9.54","Bin.9.90","Bin.9.78","Bin.6.98","Bin.6.66","Bin.6.94","Bin.6.74","Bin.6.78","Bin.6.70","Bin.9.10","Bin.9.06","Bin.9.30","Bin.8.94","Bin.9.02","Bin.0.66","Bin.0.70","Bin.0.74","Bin.9.38","Bin.0.54","Bin.0.58","Bin.0.62","Bin.7.18","Bin.7.98","Bin.7.22","Bin.7.26","Bin.7.38","Bin.7.42","Bin.7.34","Bin.7.54","Bin.7.82","Bin.7.66","Bin.7.86","Bin.7.58","Bin.7.62","Bin.7.30","Bin.3.04","Bin.3.06","Bin.4.04","Bin.4.06","Bin.6.30","Bin.6.38","Bin.6.50","Bin.6.46","Bin.2.74","Bin.3.30","Bin.2.18","Bin.2.34","Bin.3.02","Bin.3.26","Bin.2.54","Bin.2.70","Bin.2.66","Bin.2.58","Bin.3.98","Bin.1.22","Bin.1.26","Bin.4.02","Bin.2.86","Bin.2.90","Bin.2.78","Bin.2.82","Bin.2.94","Bin.2.46","Bin.2.50","Bin.3.18","Bin.3.34","Bin.2.62","Bin.3.14","Bin.3.58","Bin.4.38","Bin.3.94","Bin.3.54","Bin.3.70","Bin.1.34","Bin.3.86","Bin.3.90","Bin.3.38","Bin.3.46","Bin.3.50","Bin.3.78","Bin.3.82","Bin.3.22","Bin.3.42","Bin.2.14","Bin.2.38","Bin.2.42","Bin.1.30","Bin.2.26","Bin.4.18","Bin.3.62","Bin.3.66","Bin.1.18","Bin.2.22","Bin.1.46","Bin.2.30","Bin.3.74","Bin.4.14","Bin.1.94","Bin.2.10","Bin.1.90","Bin.4.10","Bin.4.30","Bin.4.22","Bin.4.34","Bin.4.26","Bin.1.14","Bin.7.90","Bin.2.02","Bin.2.06","Bin.3.10","Bin.1.10","Bin.2.98","Bin.1.78","Bin.1.82","Bin.1.86","Bin.1.98","Bin.1.38","Bin.1.62","Bin.1.66","Bin.1.58","Bin.1.70","Bin.1.74","Bin.1.54","Bin.1.06","Bin.1.50","Bin.1.42","Bin.0.94","Bin.0.98","Bin.1.02","Bin.0.86","Bin.0.90","Bin.0.78","Bin.0.82","Bin.8.22"
"Bin.8.02",NA,6.0677e-09,0.10644,0.091085,0.34147,0.34819,0.8138,0.20974,0.17671,0.40665,0.67606,0.11705,0.31548,0.73029,0.007389,0.049414,0.0053232,0.23175,0.44369,0.22891,0.48176,0.94699,0.74187,0.5079,0.71527,0.32179,0.67778,0.46681,0.2936,0.0051487,7.2629e-05,0.019535,0.14236,0.00061762,0.10271,0.00090457,0.084272,0.081787,0.09573,0.40177,0.00034036,0.0067987,0.00014964,0.018728,0.0017545,0.00026642,0.00078563,0.074765,0.47167,0.1667,0.14569,0.18345,0.14912,0.16337,0.63062,0.71007,0.64323,0.13942,0.0025574,0.065528,0.036622,0.086441,0.23698,0.17923,0.013574,0.9736,0.018478,0.38906,0.17419,0.80967,0.26188,0.46048,0.24958,0.23316,0.30417,0.21042,0.37766,0.15691,0.028072,0.034217,0.3416,0.26549,0.32249,0.036608,0.45711,0.56534,0.47857,0.00022018,0.33638,0.64225,0.91962,0.62345,0.69542,0.32655,0.62687,0.52702,0.54967,0.5959,0.74696,0.7359,0.9777,0.1538,0.11224,0.13028,0.1699,0.28779,0.44268,0.4649,0.39342,0.080421,0.0026416,0.72763,0.4759,0.97359,0.85653,0.79186,0.33723,0.39048,0.10775,0.81617,0.60886,0.28998,0.082841,0.025221,0.4725,0.32067,0.043235,0.37691,0.71976,0.58981,0.93937,0.045239,0.9258,0.1192,0.47052,0.97003,0.432,0.43889,0.40685,0.20092,0.68354,0.46653,0.81421,0.30381,0.20363,0.07028,0.63968,0.56492,0.66058,0.4085,0.96818,0.28657,0.74715,0.43669,0.63003,0.6403,0.47362,0.43355,0.50663,0.5632,0.59719,0.35785,0.22233,0.65223,0.75819,0.30504,0.1658,0.31225,0.92315,0.93939,0.4698,0.99904,0.46449,0.66165,0.28801,0.038968,0.28227,0.37621,0.86795,0.44614,0.50396,0.73548,0.7112,0.62265,0.73092,0.92361,0.94369,0.95804,0.57029,0.85098,0.92716,0.43125,0.89742,0.86614,0.70301,0.62535,0.85404,0.70385,0.89407,9.153e-06
"Bin.8.18",6.0677e-09,NA,0.046568,0.29088,0.84376,0.09992,0.81373,0.32836,0.13085,0.67009,0.94493,0.32371,0.74509,0.2827,0.0024507,0.36177,0.11203,0.91418,0.78408,0.96619,0.89829,0.76732,0.50582,0.51357,0.82507,0.42585,0.64514,0.17058,0.22272,0.0033914,0.0007384,0.0032736,0.65834,0.11879,0.78148,0.0025809,0.38412,0.32008,0.22797,0.4116,0.0055241,0.0035796,0.001128,0.013245,0.020761,0.0039639,0.0025227,0.035276,0.32335,0.51184,0.4604,0.62087,0.59971,0.59532,0.16032,0.077061,0.090703,0.052548,0.0096169,0.47069,0.58543,0.17755,0.70089,0.52711,0.48094,0.69774,0.15278,0.17598,0.49761,0.45053,0.54623,0.81833,0.50205,0.48904,0.58741,0.43222,0.71942,0.23114,0.10646,0.25364,0.4754,0.46187,0.47577,0.26942,0.45015,0.50769,0.56382,1.0981e-07,0.4356,0.99994,0.61501,0.57897,0.71371,0.6267,0.66036,0.68651,0.68437,0.59776,0.75432,0.86919,0.44915,0.08591,0.10943,0.065113,0.09889,0.73678,0.86319,0.97764,0.86778,0.33077,0.051465,0.62451,0.85536,0.18635,0.28432,0.86277,0.40971,0.42107,0.38177,0.95262,0.85623,0.2571,0.049612,0.085389,0.30204,0.15981,0.05956,0.95321,0.74992,0.45694,0.36637,0.24583,0.67165,0.26152,0.40103,0.91242,0.071391,0.44362,0.39193,0.30114,0.64372,0.38926,0.84544,0.73999,0.34112,0.012178,0.45546,0.58558,0.44923,0.58554,0.68033,0.57196,0.89954,0.98555,0.93273,0.56669,0.80813,0.76237,0.82998,0.81793,0.9694,0.55356,0.66074,0.64429,0.22678,0.83277,0.54373,0.78133,0.42129,0.55076,0.75829,0.85517,0.56214,0.4798,0.52973,0.18176,0.20368,0.88843,0.35394,0.35991,0.88753,0.83593,0.87604,0.20081,0.093733,0.19821,0.28912,0.23542,0.71268,0.29507,0.40481,0.81432,0.53469,0.57596,0.56052,0.19889,0.26103,0.27819,0.37295,3.6936e-07
"Bin.9.26",0.10644,0.046568,NA,0.76169,0.065079,0.58702,0.81494,0.95808,0.0024993,0.034888,0.49364,0.88949,0.96058,0.14027,0.029677,0.81904,0.016661,0.01436,0.62853,0.27573,0.039925,0.83617,0.57082,0.78852,0.86879,0.54843,0.53208,0.44585,0.65573,0.043703,0.32651,0.034401,0.4279,0.17495,0.43242,0.62269,0.72882,0.99746,0.73946,0.1065,0.60318,0.20652,0.23104,0.16591,0.17949,0.46215,0.23565,0.67151,0.77465,0.96615,0.83412,0.9911,0.9006,0.97268,0.52108,0.85073,0.82407,0.073892,0.78299,0.017689,0.65234,0.00014676,0.85568,0.021729,0.025875,0.92831,0.75851,0.75086,0.71036,0.15483,0.93733,0.92052,0.94494,0.90234,0.92236,0.55781,0.82167,1.3306e-06,0.6403,0.61462,0.88067,0.87602,0.88426,0.18955,0.61694,0.74545,0.85043,0.11095,0.5715,0.60563,0.6745,0.65025,0.92412,0.83587,0.11889,0.13627,0.084232,0.080172,0.123,0.14809,0.65293,0.51725,0.67427,0.81003,0.74427,0.99197,0.96051,0.95131,0.91517,0.72675,0.85171,0.16806,0.5555,0.35836,0.7474,0.81391,0.56865,0.77467,0.80548,0.063561,0.5112,0.20949,0.83122,0.24505,0.92239,0.9597,0.25239,0.15142,0.45859,0.61275,0.65314,0.94362,0.46632,0.37656,0.11706,0.57019,0.51337,0.023142,0.040589,0.13937,0.042786,0.10349,0.54798,0.59382,0.12023,0.63329,0.00011075,0.64854,0.18425,0.33924,0.20327,0.59984,0.80866,0.82859,0.87067,0.02161,0.21198,0.62477,0.65891,0.99413,0.53017,0.98976,0.96806,0.95938,0.31884,0.84107,0.83272,0.61548,0.00026421,0.010323,0.34175,0.63236,0.36178,0.9029,0.85617,0.971,0.11595,0.47804,0.68279,0.61589,0.70217,0.89062,0.86654,0.37762,0.38508,0.99374,0.55858,0.73577,3.2205e-05,0.07287,0.72711,0.66741,0.205,0.2009,0.23099,0.11558,0.071874,0.33882,0.2856,0.031969
"Bin.9.70",0.091085,0.29088,0.76169,NA,0.00021023,0.37754,0.024807,0.5092,0.42779,0.7679,0.87656,0.64817,0.05243,0.75332,0.20619,0.012309,0.00079235,0.072045,0.17026,0.38312,0.40343,0.71166,0.23595,0.43087,0.64403,0.95197,0.38777,0.23499,0.092654,0.21898,0.039082,0.13894,0.2824,0.039134,0.67611,0.143,0.0014053,0.019026,0.015005,0.14862,0.06709,0.12003,0.024051,0.014758,0.050834,0.022451,0.074353,0.14121,0.57889,0.45218,0.41673,0.3445,0.58787,0.55692,0.71126,0.93458,0.99959,0.96617,0.52812,0.020115,0.00053822,0.081321,0.05909,0.43696,0.034988,0.0042135,0.0048208,0.00017193,0.01538,0.16209,0.92778,0.86763,0.70032,0.75062,0.73118,0.90796,0.93278,0.65359,0.61288,0.86687,0.85758,0.9386,0.81715,0.43668,0.69322,0.72243,0.70751,0.92921,0.88301,0.78262,0.47366,0.095747,0.15716,0.4359,0.22017,0.352,0.35677,0.33947,0.28417,0.34432,0.87365,0.5895,0.67964,0.32353,0.47011,0.30798,0.34293,0.2721,0.22573,0.41693,0.23341,0.36011,0.11456,0.41538,0.88825,0.86255,0.97629,0.78496,0.90625,0.83539,0.31719,0.49653,0.038679,0.76359,0.94937,0.85546,0.60859,0.66828,0.59058,0.95584,0.45409,0.50673,0.78231,0.49401,0.67361,0.78889,0.56715,0.5508,0.56871,0.36679,0.25228,0.13194,0.30372,0.75574,0.96552,0.2523,0.15874,0.57133,0.78074,0.86012,0.26472,0.78069,0.39167,0.81274,0.47574,0.2862,0.66327,0.4249,0.14495,0.57335,0.34875,0.35226,0.035807,0.91172,0.52415,0.99646,0.020183,0.0088816,0.087807,0.12402,0.025444,0.71569,0.75985,0.6561,0.22959,0.5951,0.9167,0.94619,0.24727,0.046302,0.067068,0.37082,0.11198,0.080113,0.10504,0.064834,0.16902,0.33888,0.09594,0.25814,0.32655,0.17397,0.17101,0.12213,0.17311,0.19688,0.13069,0.25411,0.30434,0.18099
"Bin.9.94",0.34147,0.84376,0.065079,0.00021023,NA,0.52221,0.023668,0.7786,0.90619,0.53627,0.29207,0.61044,0.47471,0.3644,0.70265,0.18769,0.015331,0.035675,0.064942,0.41928,0.31061,0.80116,0.62283,0.27065,0.84098,0.47126,0.60224,0.26268,0.68187,0.56563,0.9127,0.60562,0.31645,0.9582,0.51961,0.66562,0.23312,0.47102,0.29299,0.45837,0.84736,0.96292,0.59766,0.29527,0.78281,0.91693,0.87165,0.23558,0.15557,0.71322,0.66196,0.45395,0.29533,0.22409,0.76716,0.91094,0.45937,0.48954,0.76198,0.040285,0.0025059,0.0026681,0.11235,0.0076636,0.00018407,7.8203e-08,0.084884,1.8618e-05,0.11399,0.83835,0.6265,0.55643,0.47347,0.44205,0.43347,0.62524,0.39342,0.77353,0.53031,0.60694,0.38081,0.40958,0.4248,0.79383,0.93464,0.96654,0.90325,0.66173,0.96075,0.15536,0.13776,0.97041,0.79974,0.57191,0.95933,0.88103,0.98834,0.95467,0.83039,0.89905,0.54959,0.97587,0.67413,0.97772,0.81452,0.035832,0.039544,0.027102,0.023387,0.7027,0.95297,0.41692,0.033,0.12518,0.24705,0.67096,0.97042,0.43052,0.61894,0.85912,0.6282,0.98746,0.33451,0.19072,0.63648,0.4859,0.44087,0.36844,0.41068,0.56364,0.41259,0.48338,0.68875,0.14845,0.85004,0.62871,0.54337,0.98806,0.95482,0.55182,0.40067,0.75397,0.34251,0.42545,0.63394,0.89341,0.46987,0.43064,0.68465,0.81634,0.2956,0.60966,0.20938,0.45594,0.99848,0.45171,0.7504,0.24783,0.10629,0.72253,0.23536,0.79721,0.73628,0.71142,0.87098,0.88752,0.40428,0.38294,0.79702,0.75345,0.6272,0.2267,0.69132,0.52952,0.36286,0.86275,0.096607,0.81678,0.17847,0.56345,0.76937,0.36701,0.84903,0.62236,0.75373,0.98686,0.61158,0.38208,0.25376,0.51336,0.24635,0.92946,0.96086,0.94024,0.90608,0.79775,0.79968,0.96084,0.86648,0.51594
"Bin.7.10",0.34819,0.09992,0.58702,0.37754,0.52221,NA,0.02106,0.0082864,0.009091,0.76378,0.071996,0.74378,0.18271,0.88168,0.19238,0.74984,0.97012,0.441,0.53165,0.14913,0.24223,0.15879,0.48494,0.61238,0.71036,0.51508,0.22298,0.96325,0.2155,0.54484,0.12094,0.11526,0.10401,0.79901,0.66467,0.15229,0.59323,0.51597,0.26011,0.47704,0.43331,0.95204,0.090912,0.42506,0.67657,0.2692,0.018481,0.81592,0.78734,0.62425,0.6096,0.66023,0.70649,0.64901,0.30082,0.24419,0.1183,0.018309,0.059556,0.84975,0.7516,0.55699,0.48646,0.51575,0.78568,0.078744,0.36778,0.51248,0.88437,0.5675,0.59095,0.7673,0.7274,0.80364,0.48601,0.47535,0.18968,0.13652,0.74658,0.94841,0.4249,0.59381,0.61095,0.59431,0.74491,0.88787,0.83281,0.0068752,0.27053,0.16927,0.2661,0.21053,0.10336,0.10423,0.97173,0.80401,0.72083,0.83581,0.8267,0.96963,0.7727,0.57956,0.61073,0.8176,0.93196,0.82814,0.82532,0.92519,0.9946,0.38502,0.46249,0.98341,0.27026,0.76035,0.32213,0.2995,0.92004,0.082582,0.30038,0.66274,0.26392,0.076182,0.23537,0.15945,0.13194,0.076364,0.21681,0.073322,0.57398,0.31041,0.48025,0.72465,0.762,0.28283,0.78644,0.70168,0.63941,0.32903,0.2698,0.90226,0.082376,0.068519,0.15424,0.32642,0.3641,0.0077416,0.05605,0.20369,0.65299,0.78121,0.62768,0.52194,0.45243,0.21812,0.0066215,0.18965,0.22552,0.64351,0.22556,0.86713,0.12063,0.95142,0.28083,0.56838,0.86438,0.57186,0.22166,0.16993,0.042288,0.027755,0.35386,0.30884,0.00019302,0.069749,0.68227,0.81525,0.24118,0.0029213,0.62087,0.69461,0.37084,0.10596,0.40659,0.90109,0.76701,0.68696,0.79772,0.93757,0.37214,0.28397,0.79636,0.82357,0.70355,0.90186,0.94977,0.92921,0.82831,0.83369,0.70708,0.79281
"Bin.7.94",0.8138,0.81373,0.81494,0.024807,0.023668,0.02106,NA,0.15638,0.16287,0.76134,0.25014,0.031427,0.6137,0.85913,0.25423,0.66061,0.60191,0.62927,0.67326,0.40705,0.83292,0.17539,0.85497,0.81533,0.70346,0.3242,0.95015,0.29176,0.97126,0.097488,0.43491,0.32854,0.0084224,0.2113,0.02423,0.8458,0.22943,0.28991,0.88129,0.85533,0.68945,0.70077,0.4155,0.79433,0.66628,0.42366,0.87298,0.54846,0.78853,0.10638,0.12429,0.15545,0.09524,0.12436,0.03503,0.018272,0.015891,0.86618,0.45176,0.57738,0.31749,0.92285,0.88347,0.19604,0.027685,0.18023,0.52634,0.82693,0.86173,0.39306,0.089944,0.23018,0.098046,0.1225,0.070013,0.15856,0.046074,0.076458,0.10506,0.093651,0.11926,0.18622,0.10657,0.27294,0.34219,0.45266,0.34187,0.26583,0.86422,0.82838,0.75256,0.89355,0.93268,0.61414,0.28362,0.37252,0.2281,0.25837,0.12019,0.26739,0.59567,0.25776,0.20407,0.39559,0.37863,0.55195,0.55871,0.71423,0.61299,0.99356,0.20514,0.039197,0.68429,0.93715,0.75834,0.25989,0.31629,0.20017,0.20613,0.77363,0.38289,0.16453,0.78815,0.52227,0.56398,0.82062,0.6289,0.069395,0.20902,0.18972,0.84935,0.84064,0.066208,0.63164,0.054516,0.18034,0.37495,0.30436,0.61051,0.12397,0.15729,0.030891,0.27836,0.36189,0.47049,0.15792,0.16885,0.70185,0.39245,0.024972,0.061941,0.17977,0.1384,0.56128,0.56322,0.20219,0.92192,0.23847,0.072982,0.54433,0.018396,0.56338,0.64817,0.4336,0.61904,0.27207,0.46574,0.39517,0.12471,0.11684,0.4114,0.86853,0.96453,0.79588,0.88777,0.44703,0.78949,0.76572,0.61864,0.86115,0.87412,0.47921,0.77723,0.34915,0.71129,0.39205,0.73851,0.80443,0.32396,0.52655,0.53381,0.26942,0.40139,0.1856,0.22877,0.28878,0.26963,0.68804,0.68511,0.78424
"Bin.7.70",0.20974,0.32836,0.95808,0.5092,0.7786,0.0082864,0.15638,NA,0.0016476,0.09524,0.31194,0.43605,0.31043,0.035932,0.070428,0.013378,0.29303,0.3315,0.32991,0.014958,0.35021,0.52691,0.3422,0.067115,0.3328,0.54062,0.49964,0.054482,0.14411,0.24537,0.00012207,0.11382,0.1299,0.96843,0.93886,0.44917,0.71148,0.86832,0.74239,0.41427,0.19157,0.018483,0.97663,0.51084,0.7721,0.97277,0.63236,0.015658,0.0095957,0.010488,0.0099956,0.01067,0.0099657,0.011019,0.88076,0.70154,0.66427,0.23474,0.22533,0.21946,0.2162,0.13276,0.34936,0.82725,0.47171,0.93972,0.047489,0.33495,0.025672,0.86952,0.067588,0.37711,0.1556,0.19322,0.096111,0.30436,0.18475,0.29661,0.23899,0.45748,0.27025,0.32382,0.24473,0.18778,0.62207,0.81342,0.73352,0.30265,0.00052631,0.18743,0.24477,0.37555,0.47659,0.69164,0.54877,0.48862,0.71393,0.506,0.60331,0.65549,0.85439,0.023083,0.031266,0.072357,0.061537,0.033862,0.027598,0.032177,0.037778,0.3505,0.49516,0.037023,0.30272,0.34472,0.064373,0.96518,0.91104,0.9232,0.47604,0.30677,0.0383,0.030719,0.62706,0.57601,0.10494,0.82191,0.74116,0.44693,0.85014,0.81869,0.33074,0.33764,0.48174,0.34026,0.81424,0.91655,0.72608,0.27282,0.69875,0.92542,0.28605,0.054995,0.14602,0.20928,0.067992,0.61773,0.397,0.48448,0.35837,0.67419,0.53239,0.82813,0.52623,0.22052,0.97794,0.67839,0.26386,0.46584,0.14869,0.63723,0.35728,0.63659,0.85551,0.21858,0.27286,0.19115,0.72559,0.78469,0.8004,0.15738,0.87069,0.69827,0.0013619,0.26939,0.59737,0.48437,0.6829,0.75727,0.83781,0.50206,0.72364,0.72556,0.48394,0.88499,0.62358,0.91137,0.97037,0.92049,0.92235,0.83863,0.87337,0.37276,0.88699,0.36453,0.26009,0.75406,0.87425,0.99613,0.97648,0.22514
"Bin.7.02",0.17671,0.13085,0.0024993,0.42779,0.90619,0.009091,0.16287,0.0016476,NA,0.00012794,0.005214,0.26,0.15009,0.024781,0.43097,0.038761,0.73605,0.38204,0.017053,0.019306,0.35199,0.0074613,0.061154,0.28815,0.04177,0.0045343,0.011598,0.0053969,0.019352,0.040978,0.023829,0.44905,0.035204,0.67711,0.44302,0.7571,0.068611,0.11372,0.30425,0.31302,0.058504,0.063645,0.19637,0.071622,0.17752,0.21816,0.46284,0.24008,0.016971,0.11024,0.11644,0.090985,0.15439,0.19485,0.38546,0.35814,0.1627,0.085471,0.01458,0.52729,0.23468,0.88231,0.22066,0.53669,0.8246,0.60726,0.14375,0.023119,0.12606,0.041289,0.068597,0.097925,0.032263,0.069308,0.026822,0.10335,0.044941,0.64224,0.034248,0.12828,0.016513,0.025587,0.042087,0.08668,0.057673,0.073215,0.03675,0.14848,0.63812,0.44024,0.062253,0.21295,0.3975,0.2648,0.16744,0.15425,0.24576,0.15678,0.3231,0.36572,0.82098,0.13766,0.13224,0.15624,0.17069,0.92951,0.83701,0.79986,0.68473,0.1056,0.017645,0.024329,0.91615,0.71259,0.61703,0.0052057,0.0015288,0.040496,0.0006956,0.02224,0.068585,2.6935e-05,0.28982,0.7271,0.92836,0.9325,0.86513,0.70278,0.0042558,0.013456,0.10083,0.033846,0.00047155,0.001754,0.45731,0.04901,0.98438,0.077286,0.15048,0.18008,0.84038,0.62303,0.92852,0.83544,0.50585,0.26024,0.61825,0.5704,0.39287,0.36671,0.097513,0.43209,0.76031,0.087087,0.94763,0.016169,0.14346,0.942,0.60997,0.34979,0.96733,0.72569,0.87768,0.16285,0.32148,0.14784,0.5056,0.6585,0.030695,0.93704,0.070509,0.12242,0.00072656,0.54509,0.9905,0.55046,0.17136,0.52951,0.3208,0.17414,0.17138,0.25725,0.14573,0.42732,0.41294,0.37618,0.51112,0.92165,0.028789,0.98603,0.87094,0.28277,0.14244,0.4947,0.39704,0.30811,0.59797,0.052185,0.042166,0.66409
"Bin.7.06",0.40665,0.67009,0.034888,0.7679,0.53627,0.76378,0.76134,0.09524,0.00012794,NA,0.0032163,0.70838,0.94019,0.84963,0.5664,0.37736,0.29707,0.91769,0.22385,0.39027,0.73734,0.30466,0.56092,0.31212,0.52207,0.60187,0.77156,0.12242,0.093508,0.31919,0.49694,0.24034,0.57358,0.5701,0.95964,0.65887,0.070238,0.027207,0.18896,0.44238,0.045062,0.014664,0.15937,0.082409,0.17498,0.64383,0.19472,0.98809,0.15359,0.2927,0.30493,0.40924,0.59631,0.58641,0.65336,0.4291,0.69623,0.44891,0.23559,0.46798,0.48522,0.24843,0.55477,0.15309,0.98526,0.86749,0.64463,0.98131,0.86776,0.26586,0.99311,0.81622,0.56425,0.69537,0.70691,0.92209,0.93115,0.13139,0.48212,0.80353,0.65077,0.60376,0.72993,0.8801,0.62869,0.67038,0.55875,0.72359,0.0037409,0.10633,0.024024,0.011982,0.0069965,0.028704,0.41076,0.53021,0.87793,0.55423,0.70491,0.74141,0.99581,0.036816,0.01791,0.037712,0.02913,0.30209,0.38356,0.44148,0.49346,0.091373,0.0031249,0.00084538,0.57998,0.64943,0.3434,0.011672,0.061523,0.037121,0.043952,0.30306,0.0017219,0.00015574,0.66396,0.8573,0.9529,0.49447,0.49397,0.62958,0.026012,0.0018185,0.17957,0.0055251,0.010215,0.0059893,0.28018,0.21527,0.44305,0.25199,0.15349,0.35205,0.56988,0.2556,0.50267,0.29586,0.1378,0.85347,0.93575,0.18627,0.39148,0.4783,0.096828,0.34188,0.50103,0.0087636,0.15954,0.046087,0.10738,0.45704,0.53,0.81005,0.61241,0.66833,0.76599,0.052987,0.29333,0.34331,0.75717,0.39478,0.026871,0.5243,0.029588,0.83972,0.044246,0.87948,0.36869,0.28652,0.34996,0.83783,0.70376,0.98877,0.95715,0.94827,0.91907,0.82909,0.62082,0.91665,0.91352,0.88534,0.33066,0.53101,0.9038,0.79298,0.4438,0.84258,0.5378,0.66199,0.93496,0.24407,0.18959,0.44564
