"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Label","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","control","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient","patient"
"Bin.9.98"," 0.9102351"," 1.2833840"," 0.8909660"," 1.0079857"," 1.1302475"," 0.9671993","-1.8835992","-2.1337029"," 0.4760843","-1.8795069","-1.9449152"," 0.9559334"," 0.5095973","-2.0370250"," 0.4870279"," 1.2344857","-1.9049625"," 0.9684108"," 0.9739248"," 0.4823698"," 0.4990100"," 0.5306338"," 1.1708351"," 0.9714614"," 1.0086810"," 1.2347361","-2.1875446"," 1.9057809"," 1.5861638"," 1.6889118"," 1.0164403"," 0.9178000","-2.4957734"," 1.7217008"," 0.4682761"," 1.2265848","-2.1959474","-2.3776998"," 1.1276267","-1.9219032","-1.8686783"," 0.5977818"," 0.8937770","-1.9165858"," 0.9507441","-2.2011069"," 0.5045671","-2.2446664","-2.0878236"," 0.9820770"
"Bin.9.94"," 1.0474798"," 0.6283747","-1.6589817"," 1.3467799"," 1.2659669"," 1.1040492"," 1.0963482","-1.9753554"," 0.6163388","-1.7229216","-1.7878765"," 1.0928614","-1.7494610","-1.6771300"," 0.6272066"," 1.0489669","-1.7482008"," 1.3074763"," 1.1107280"," 0.6225808"," 0.6391056","-1.7704018"," 0.6348850","-1.7389190"," 1.1452433"," 1.3697312","-2.0288238"," 1.9355110"," 1.8260121"," 1.8858639","-1.7835862"," 1.0549923","-2.2166150"," 1.6699133","-1.7083041"," 1.2433390","-1.9188700","-2.0154256"," 1.0611447","-1.7650240","-1.7121681"," 1.2065665"," 1.5988590"," 1.1291061"," 0.6185931","-2.0422921"," 0.6446242"," 1.2526799","-1.9297942"," 1.1188236"
"Bin.9.90"," 0.9051838"," 0.4898326"," 1.2038610"," 1.2018030"," 1.1217139","-2.0524751"," 1.1540264","-2.2078152","-1.8336264"," 0.9495869","-1.9047760"," 0.9501588"," 0.5108872","-1.9954278","-1.8444304"," 1.1070643"," 0.5096415"," 1.4277961"," 0.9678655"," 0.4840906","-1.8562569","-1.8874578"," 0.9612464","-1.8562569"," 0.5370086"," 1.2245487","-2.1435650"," 1.7677310"," 1.5704140"," 1.1534476"," 1.2101244"," 0.9126289","-2.3742471"," 1.7399971"," 0.9351003"," 1.0992887","-2.2350180","-2.1302868"," 1.1191346"," 1.3089668","-1.8297456"," 0.5976760"," 1.3543328"," 0.9860790"," 0.9450517","-2.1569127"," 1.1713385","-2.4002071","-1.8450104"," 0.9758886"
"Bin.9.86"," 1.0759961"," 1.1265080","-1.8597872"," 1.1739830"," 1.0924170","-2.3444242"," 1.2447263","-1.9749975"," 0.9102145","-1.9243230","-1.9898831"," 0.9176984","-1.9511096"," 0.3975639"," 0.4477045"," 1.4464115"," 0.4690576"," 1.3384315"," 0.9357315"," 0.4430356"," 0.4597144"," 0.4914116"," 0.9289904"," 0.4597144"," 0.9705684"," 1.1971481","-1.9095693"," 1.7850324"," 1.5493914"," 1.2441367","-2.3090666","-2.3606155"," 0.8877856"," 1.2112900"," 0.9023622"," 1.2736947","-2.3262151"," 0.4154361"," 1.2091903"," 1.2831229","-2.2369761"," 0.5587155"," 1.3293255","-1.9614880"," 1.1166039","-1.9231614","-1.9460545","-2.2903300","-1.9290155"," 0.9439026"
"Bin.9.82"," 0.8246587"," 0.8749454"," 0.3342345"," 1.1254346"," 1.0442231","-1.9712260"," 0.8737681","-2.0098574"," 0.3913918","-1.9594031","-2.0246783"," 0.8702640"," 0.8963543"," 1.0268815"," 0.4023132"," 1.2325977"," 0.8950879"," 1.2048192"," 0.8882188"," 0.3976645"," 0.8857603"," 0.4458303"," 0.4100295"," 0.8857603"," 0.9229042"," 1.3517311","-1.9447135"," 1.6601411"," 1.6287586"," 1.4437137","-2.5457075","-1.9219272","-2.6587645"," 1.1625794"," 1.0582130","-2.2300834","-2.2751993"," 1.0447491"," 1.3102638"," 0.9119940","-1.9485965"," 0.9845298"," 1.3335590","-1.9964066"," 1.1871866"," 0.3970887","-2.3874934","-2.6911341","-2.1672957"," 0.4248366"
"Bin.9.78"," 0.6939131"," 0.2605884"," 0.1893376"," 0.7942795"," 0.9198131","-2.5140449"," 0.7444395"," 0.3069663"," 0.7331680","-2.1704833"," 0.8073964"," 0.7408343"," 0.7676775","-2.1231381","-2.1746852"," 0.9045296"," 0.7663745"," 0.9627308"," 0.9683929"," 1.0710382"," 0.2716835"," 0.3041535"," 0.7524017"," 0.2716835"," 0.7949935"," 1.0270979"," 0.2401271"," 1.5743162"," 1.4197134"," 1.3308310"," 1.3434600","-2.6174139","-2.6809268","-2.8637766","-2.1553699","-2.3266631","-2.6494889","-2.4729114"," 1.0394336"," 1.1151689"," 0.2441088"," 0.3730985"," 1.0084017"," 1.1097089"," 1.0669018"," 0.2540054"," 1.0938976","-2.7545120"," 0.2599839"," 0.9767639"
"Bin.9.74"," 0.4547133"," 0.2672641"," 0.7604385"," 0.5742970"," 0.4747534","-0.3025989","-0.3120571","-0.2553656"," 0.6472025"," 0.5099086","-3.2869013"," 0.5106195","-0.2844493"," 0.2044099"," 0.2658209"," 0.2074577"," 0.6867676"," 0.7749907"," 0.5326293","-0.3177550","-0.2974001","-0.2587167"," 0.5244017","-0.2974001"," 0.5751476"," 0.3534672"," 0.6376183"," 1.2776945"," 1.1912379"," 0.6599129"," 0.8337478"," 0.4639681","-3.1710964"," 0.4741099"," 0.4919013","-0.3798358","-3.4482560"," 0.2263081"," 0.7206531"," 0.8108814","-0.3302513"," 0.6506883"," 0.4345783","-3.5013451"," 0.7533776"," 0.6542083"," 0.8657349","-3.4044629","-0.3113384"," 0.6883200"
"Bin.9.70","-0.03310391"," 0.85912012","-2.41103694"," 0.78338540"," 0.69750007","-2.49149349","-2.48330917"," 0.56627397"," 0.72056409"," 0.72783167"," 0.58194784"," 0.51352928","-2.50719529","-2.43032434"," 0.51723498"," 0.80751295"," 0.53978181"," 0.02808236"," 0.74743488"," 0.85294312"," 0.03129296"," 0.06466865"," 0.52541930","-2.71090889"," 0.56919901"," 0.09408794"," 0.83801845"," 1.45946271"," 1.35708184"," 0.94645743"," 1.13296318"," 0.97231217","-2.44810666"," 1.03759661"," 0.71229510"," 0.67345187","-2.68723745","-2.66413043"," 0.97885183"," 0.89830473","-2.68247622"," 0.84929514"," 1.16188376"," 1.15542062"," 1.00708637","-2.47776710"," 0.53579830"," 0.68337900"," 0.51785693"," 0.88176343"
"Bin.9.66"," 0.37068829"," 0.63820274","-2.71383753"," 0.68808312"," 0.60238443"," 0.77057809"," 0.42251110","-2.83489772"," 0.75084862"," 0.41820145","-2.63608449"," 0.63326218","-0.05122533","-2.51864259","-0.07499332"," 0.37226528"," 0.65945998","-0.06557850"," 0.65221073"," 0.75748968","-0.06237488","-0.02907172"," 0.77057809"," 0.64961619"," 0.68881543"," 0.71242189"," 0.83160682"," 1.37778712"," 1.19628806"," 1.19071650","-3.31135535"," 0.93301031","-2.87628143"," 1.22524681"," 0.61714732","-0.13334517","-2.90044766"," 0.60293940"," 0.98723068"," 0.96080397"," 0.74669552"," 0.87930154"," 0.90770714","-2.82070265"," 0.96770901"," 0.75688002"," 0.86994521","-3.16621627","-0.07437458"," 0.66079647"
