"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.98",-0.089375,0.20064,-0.083546,0.23398,-0.038391,0.18348,-0.21318,0.010985,0.11598,-0.21683,0.012945,-0.26129,-0.087343,-0.035849,0.13841,-0.054594,0.18803,-0.040734,-0.21606,-0.072846,0.15301,0.15172,0.14171,0.19061,-0.027422,0.041297,-0.01015,0.059731,0.096801,-0.014396,0.068059,0.069414,-0.05077,0.14754,0.22636,0.048439,-0.12035,0.11399,0.028026,-0.056221,0.16127,0.016046,-0.12441,-0.080717,-0.041645,-0.14647,-0.11346,-0.054063,-0.04688,0.15714
"Bin.9.94",-0.035892,0.17837,-0.24859,0.14778,-0.053692,0.043564,-0.22737,-0.019213,0.10553,-0.24063,0.2644,-0.0011413,-0.14426,0.19339,0.044796,-0.060503,0.14956,-0.009586,0.34891,0.0077699,-0.010504,0.14585,0.0050032,0.077709,-0.1324,-0.21673,-0.13952,0.031951,-0.053002,-0.12317,0.027713,0.13706,0.038758,0.081324,-0.073767,0.014327,0.030206,-0.070821,-0.0092969,0.044682,-0.15848,0.0086821,0.089154,-0.0099582,0.15482,0.18011,0.055246,0.063275,0.0081653,-0.12558
"Bin.9.90",-0.11736,0.17137,-0.17348,0.07709,-0.026036,0.27911,-0.15039,-0.061627,0.22881,0.011005,-0.086971,0.20144,-0.06225,-0.1376,-0.13211,0.11547,-0.061922,-0.20893,0.041564,0.15641,0.048717,0.0077101,0.061831,-0.26278,-0.07475,0.18417,-0.19197,-0.30224,-0.058896,0.078225,0.083459,-0.1557,0.1156,-0.0065808,-0.083908,-0.049909,0.14053,-0.040445,-0.17152,-0.068248,0.062926,-0.052558,-0.027983,0.067719,-0.11997,-0.030574,0.055172,0.071343,0.067515,0.014454
"Bin.9.86",-0.093847,0.11555,-0.17451,0.30965,0.079872,-0.10999,-0.039627,0.17632,-0.028142,-0.18544,-0.11801,0.2537,0.14384,0.13756,0.1754,-0.061449,-0.25706,0.10517,-0.069212,0.030481,0.096399,-0.12836,0.087655,0.027938,0.13027,-0.087116,0.12098,-0.03122,-0.10357,-0.17855,-0.03252,0.041269,0.041944,-0.13353,0.044003,-0.03619,0.036935,-0.062857,0.21693,0.011262,0.053175,-0.060045,0.077311,-0.036579,-0.066311,0.0018812,0.074613,-0.068073,0.059689,-0.023123
"Bin.9.82",-0.10844,0.16164,-0.073944,0.28135,-0.11265,-0.20065,-0.014132,0.21785,-0.039529,-0.1328,-0.15921,0.16518,0.19267,-0.0081781,-0.12015,-0.0044527,-0.11043,0.09984,-0.21817,-0.15455,-0.079876,0.079749,-0.17201,-0.2333,0.063841,0.0017731,-0.0042595,-0.059103,0.18399,0.055961,-0.058192,-0.040332,-0.12022,0.076978,2.2097e-05,-0.056362,0.064377,0.078953,-0.081609,-0.034766,0.014534,0.043566,-0.015846,0.10666,0.066563,0.12386,-0.05104,0.025797,-0.046837,0.0090486
"Bin.9.78",-0.095725,0.10548,-0.08306,0.045219,-0.16326,0.2418,0.33887,0.092441,0.012495,-0.0020197,-0.036506,0.089947,0.20126,0.16297,-0.25054,-0.32391,0.18023,-0.30539,-0.032962,-0.16608,-0.048212,-0.14064,-0.19267,0.15221,-0.11044,-0.068266,-0.11863,0.16158,0.044981,0.085989,-0.0032383,-0.078351,0.02305,-0.12137,-0.0095306,0.084057,0.069898,-0.051413,0.099101,-0.050732,0.02081,-0.068525,-0.037977,0.00208,0.023392,-0.038628,-0.066527,-0.041811,0.043382,0.060511
"Bin.9.74",-0.11667,0.13456,-0.050142,0.082679,0.025231,0.029744,0.026311,0.11166,-0.11269,0.10095,-0.19923,-0.25514,-0.042158,-0.035213,-0.18286,0.33234,-0.035582,-0.012602,-0.11308,-0.15681,-0.06205,0.087296,-0.035407,0.01663,-0.024092,0.0029449,0.039627,-0.041366,0.045751,0.0021943,-0.036002,0.26155,0.01003,-0.11719,0.0039254,0.18083,-0.0085372,-0.11228,-0.032028,0.17775,0.0019356,-0.085911,-0.001767,-0.074623,-0.081401,0.054897,0.0069053,-0.012932,-0.091398,-0.10115
"Bin.9.70",-0.035674,0.12336,-0.26298,-0.08615,0.070805,0.24386,0.060563,0.14117,0.2529,-0.039688,0.091338,-0.17344,-0.0016448,-0.029086,0.09871,-0.084236,-0.13612,0.15946,0.20459,-0.13489,-0.0071606,-0.18405,-0.02161,0.074186,0.33628,0.25211,0.15641,0.14084,0.028621,0.17667,-0.097932,-0.11446,-0.10975,0.044506,-0.16441,-0.027193,-0.032152,-0.016393,-0.083342,0.088093,0.05112,0.05205,-0.093987,-0.096612,-0.041082,-0.023185,0.099098,-0.0016916,0.00080262,-0.074682
"Bin.9.66",-0.13485,0.1143,-0.14481,0.14665,0.045939,-0.2502,0.022722,-0.12385,-0.072717,-0.0065642,0.033241,-0.33165,0.09244,-0.048364,-0.20058,0.15673,0.08196,-0.035136,0.011591,-0.066967,-0.021354,-0.11998,-0.048917,0.022387,0.082095,0.10634,0.0034271,-0.09748,-0.22135,-0.14693,0.16649,0.052069,0.088135,-0.0093757,-0.28446,-0.018513,0.035637,0.056062,0.06777,-0.12086,-0.12225,0.12498,-0.18599,0.035384,0.021956,-0.046494,-0.083863,-0.03283,0.11381,0.14033
"Bin.9.62",-0.14134,0.13125,-0.16288,0.059679,0.022082,0.054864,-0.0472,0.10602,-0.054772,0.21357,-0.13871,-0.081398,0.057906,-0.15686,0.22622,-0.019604,-0.040219,-0.029764,0.20293,0.21498,-0.029367,-0.14667,-0.055313,-0.23539,-0.19679,-0.16602,0.07187,0.12884,0.099057,-0.076279,-0.10316,-0.078177,0.054451,-0.027766,-0.028322,0.13302,-0.12122,0.019599,-0.031972,0.0059208,0.007357,-0.10953,0.084021,-0.014932,0.065274,0.058453,-0.091228,0.039242,-0.04822,0.20092
"Bin.9.58",-0.12141,0.14646,-0.15106,0.093491,0.10474,-0.1642,0.15216,0.15845,-0.12781,0.15481,-0.28226,-0.054041,-0.2438,-0.11584,0.017739,-0.10463,0.033378,-0.047203,0.098764,-0.026794,0.019182,-0.066134,0.23762,-0.0059099,-0.076917,0.0041227,-0.1051,0.11459,-0.1951,0.084669,0.12695,-0.014955,-0.073008,-0.14238,0.14793,-0.15782,0.011103,0.1637,-0.11858,0.022264,-0.016074,0.033079,0.051111,-0.084491,0.08513,-0.10623,0.080475,0.019994,0.047038,-0.22117
"Bin.9.54",-0.12387,0.095915,-0.16184,0.027624,-0.029634,0.16683,0.21207,-0.14105,0.0049994,0.35129,-0.018863,0.12665,0.22888,-0.048277,-0.043609,-0.13777,0.04584,0.24012,0.061728,0.18658,-0.14117,0.47132,-0.025573,0.15786,0.13509,0.0056474,0.0090288,-0.083746,-0.18181,-0.046148,-0.08779,0.14363,-0.057753,0.02181,0.026678,-0.029267,-0.0015237,0.035273,0.071931,0.011183,0.015314,0.088101,-0.029526,-0.018534,-0.082375,0.070749,-0.06466,0.0035423,-0.09026,0.06705
"Bin.9.50",-0.14029,-0.0049915,-0.16485,0.12,0.048236,0.068757,0.021351,-0.27903,-0.19923,0.17036,0.12646,-0.065231,-0.10449,0.086852,-0.038535,0.20422,-0.091646,-0.02899,-0.26187,-0.029119,0.15096,-0.068741,0.0068747,0.24031,0.025796,-0.018964,-0.083549,0.091112,-0.018315,0.093649,-0.12565,-0.133,-0.03065,-0.068152,0.13024,0.065161,0.074653,-0.094243,-0.030876,0.056206,-0.064704,0.03847,0.247,0.082258,-0.004606,0.070534,-0.0088107,0.00053319,-0.020491,-0.011517
"Bin.9.46",-0.11192,-0.014662,-0.00027781,0.029248,0.039446,0.23982,0.13853,-0.074891,0.29982,-0.11548,0.065936,0.10379,-0.097615,0.069242,0.0014706,0.20992,-0.10192,0.13335,-0.23746,-0.036475,-0.29816,0.037629,-0.066203,-0.011933,-0.055137,-0.17272,0.19008,-0.14669,-0.044286,-0.065317,0.16377,0.037078,-0.078244,-0.013433,0.088247,-0.15736,-0.14144,0.048392,0.017312,-0.006334,-0.14364,-0.09069,0.0080252,0.13792,0.17022,-0.10644,-0.037668,0.017618,-0.0036199,-0.12172
"Bin.9.42",-0.14445,-0.0091807,-0.18723,0.088132,0.08984,-0.079062,0.071689,-0.2173,-0.057845,0.12612,0.2731,0.050567,-0.049516,-0.037009,0.13313,0.015892,-0.083706,-0.12373,-0.2112,0.14343,-0.013486,-0.10215,-0.16589,-0.03311,0.031238,0.03957,-0.01668,0.037411,0.2368,-0.065149,0.10176,-0.14684,0.0032792,0.025036,-0.050519,0.040387,-0.11519,-0.03155,-0.076243,-0.0078525,-0.032725,-0.0075414,-0.00028139,-0.060284,0.10871,-0.1485,0.031774,0.040386,0.030701,-0.036329
"Bin.9.38",-0.14759,-0.016253,0.0047936,-0.01261,0.096862,-0.01867,0.12109,0.016159,-0.021171,-0.035955,0.020226,0.071596,-0.082382,0.048857,0.040763,-0.0038079,0.029146,-0.039728,-0.0040484,0.064333,0.043678,0.021737,0.041326,0.028483,0.022701,0.091159,-0.077646,-0.0074667,0.15505,-0.14021,0.0084188,-0.0095478,0.013688,-0.064464,-0.01586,0.0064988,-0.031905,0.070514,0.04662,-0.050779,0.058484,-0.08185,0.042307,-0.052432,0.017077,0.060108,-0.081154,0.015808,-0.10781,0.093798
"Bin.9.34",-0.13952,0.10212,-0.17443,-0.15862,0.06295,-0.13905,0.13477,0.10307,-0.041426,0.078755,0.31333,-0.046013,-0.11187,-0.10979,-0.084149,0.043855,-0.029672,-0.16905,0.034591,0.01668,0.04203,0.16902,0.03555,-0.11262,0.16093,-0.026484,0.14726,-0.041246,0.15488,-0.044481,-0.1711,0.020435,0.18083,0.057508,0.17038,0.010162,-0.060252,-0.033882,0.13896,0.015945,0.11647,-0.14299,-0.074675,0.020498,0.028727,0.055957,0.045753,0.039866,0.0092122,-0.063782
"Bin.9.30",-0.1304,-0.0077213,0.044232,0.040635,0.1207,-0.24895,0.13235,-0.029057,0.1266,-0.080421,0.10638,0.12439,-0.069907,-0.056734,-0.015721,-0.027499,0.075276,-0.099826,0.039782,-0.016046,-0.097862,0.042187,0.056893,0.028648,-0.035613,0.06493,-0.072204,-0.015666,0.08901,0.01391,0.071029,-0.017293,-0.16033,0.023869,0.0060763,-0.048559,-0.091904,0.033444,-0.082531,0.014464,0.00296,0.031112,0.14038,-0.042646,-0.064697,0.031261,0.099116,0.014748,-0.12315,0.17505
