"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"C002",-1.0027,2.4483,-0.27367,1.4859,-0.57227,0.68123,-1.057,1.2066,-0.56395,0.70092,-0.36932,1.105,-1.1163,0.55531,-0.013559,-0.77506,1.5125,-0.23496,-0.28968,0.37124,0.0087004,0.15543,-0.94095,0.20308,0.002544,0.56005,0.9154,-0.54599,-0.020692,-0.72245,-0.28474,0.40241,1.1145,-0.74619,-0.97187,-0.88613,-0.97432,0.54993,0.19389,0.39896,0.060073,0.83518,0.64792,-0.19844,-0.42247,-0.029305,-0.08767,0.25675,0.032246,2.0643e-16
"C004",0.90294,4.2974,-0.2595,0.36332,3.1588,-0.66498,0.69574,0.46739,0.86868,-1.3389,-0.039172,-0.072795,-0.0077032,-0.52218,-0.37414,-0.9843,0.024299,0.9151,-1.8307,0.54972,2.5613,1.1651,-0.98618,0.38787,-0.38603,-0.0031698,0.031745,0.97188,-0.91713,0.59878,0.15713,-0.74932,0.93322,0.63353,-1.0331,0.56125,0.66414,-0.29477,-0.24849,0.84467,-0.18036,-0.18863,0.0096889,0.011054,-0.10769,0.28377,0.031681,-0.096707,0.13122,6.8695e-16
"C005",-0.81762,0.2847,2.7079,0.4209,-1.8461,1.5151,-1.048,2.0132,-0.42189,4.0523,0.02193,2.1159,-2.6805,-2.6016,0.44511,-0.11128,1.3487,-1.378,-2.8743,0.11331,-0.37944,1.59,0.33201,0.34103,-0.70447,-0.50999,-0.53027,-0.38243,1.1844,0.37592,-0.47271,-0.0595,-0.14867,0.25839,0.5994,-0.019364,-0.15669,-0.30209,-0.55583,-0.016583,0.042974,-0.28413,0.19209,0.18174,-0.0084295,0.067135,0.04495,-0.16271,0.0093807,9.8532e-16
"C006",-0.89221,1.7019,-0.10822,4.1509,-3.8172,-0.11861,1.9587,-0.26721,1.8936,-0.12069,0.18572,0.17626,0.14127,-1.694,0.43847,2.0888,-1.7911,-1.9026,2.461,0.9761,1.585,0.57239,-0.64659,1.6541,1.5516,-1.3583,0.63588,0.26701,0.82942,0.52067,0.18481,0.26321,0.027295,0.31997,-0.041619,-0.01148,0.16008,0.21829,-0.23435,-0.17947,-0.23884,0.33308,0.1915,0.13648,-0.11049,-0.060241,-0.068535,-0.0066254,-0.023643,1.6966e-15
"C007",-1.711,2.5577,0.24511,3.1043,-1.088,1.2663,-0.99206,0.66958,-1.4486,0.48091,1.0489,0.084666,-1.5903,1.103,-0.079404,-0.72608,0.058153,-0.44854,0.93582,0.35085,-1.1355,0.55236,-1.3825,-0.37927,1.071,1.4348,1.4149,0.15187,-0.99278,0.34041,0.65204,-0.56805,0.26004,-0.66456,0.78273,0.046808,0.43591,0.31246,0.064258,-0.39163,0.18466,-0.58969,0.028163,0.38139,-0.17722,0.29503,0.030368,-0.57211,0.13949,1.1623e-15
"C009",1.4625,-1.1108,4.3701,-0.0094131,-1.9644,-1.6116,-1.153,-2.4003,-0.12956,-1.178,3.4131,-1.949,-1.7493,0.65356,0.77911,2.0796,0.63337,0.37372,-0.037718,-1.7009,0.70237,1.0333,0.66001,0.55919,-1.0983,-0.050945,-0.55256,-0.14169,0.10157,-0.56783,1.0447,0.49877,0.20674,0.24842,-0.48143,-0.342,-0.34666,-0.42383,0.7739,-0.23535,-0.093264,-0.22816,-0.099606,0.41808,-0.49122,0.18706,-0.22583,-0.22535,-0.053997,-1.4572e-16
"C010",-1.2316,1.0625,0.35779,1.1442,-1.1204,-0.68239,0.9974,0.043232,-1.3356,0.73974,0.83163,2.4147,0.12362,0.88541,-0.49845,0.40326,-0.75349,-1.0211,0.51748,1.0333,-0.0046079,0.22791,-0.13746,-1.1821,-0.64061,-1.124,-0.73732,-0.98277,-1.4682,-1.0354,0.1982,0.12117,0.47469,-0.25383,-0.040036,-0.36016,0.40591,-0.36406,0.13293,0.065905,-0.79307,-0.1768,0.29972,0.41757,0.98747,-0.069085,-0.19528,0.14609,0.02077,2.7756e-17
"C011",7.9576,2.7543,4.8299,-4.7843,3.0489,-0.031173,5.7309,2.1147,1.3271,-2.206,-1.9511,0.2341,-4.0205,2.0506,-0.82522,-0.30467,-0.84186,-0.29986,0.82322,-1.5641,0.6395,0.79044,0.40667,0.20675,0.48073,0.57345,-0.011862,-0.37615,0.56562,-0.57827,-0.36961,0.29798,0.050068,-0.36939,0.26264,0.063747,0.15649,-0.069529,-0.39835,-0.11306,0.099178,0.0042382,0.021298,-0.030737,0.17655,-0.018369,-0.031343,0.0064581,-0.069798,-1.1727e-15
"C012",0.094016,3.0788,-0.4237,-0.031071,1.8449,-0.52041,2.4677,1.8991,-1.262,-0.67927,1.3745,-2.0097,1.7264,1.6795,1.5405,1.1686,-0.13184,0.57941,-0.49242,1.1772,-1.1854,0.37649,-0.92929,1.3383,-0.86733,-0.73183,-0.62467,1.0871,-0.62716,-0.37115,-0.81284,-0.29404,-0.255,0.090911,0.32666,-1.4541,-0.14251,-0.12273,-0.68859,-0.26304,0.37513,-0.14077,-0.063349,-0.049016,-0.1257,-0.23235,0.14811,-0.065302,0.038256,8.4264e-16
"C015",0.87406,1.719,2.8119,-1.927,3.1858,0.39707,1.1346,-0.63699,0.67899,1.8318,0.53512,-1.2581,-0.90846,-1.6321,0.18532,1.5069,-0.87482,0.34763,0.61318,2.215,-1.4748,-0.93815,-0.20991,-0.87499,1.2337,0.94819,-1.9687,-0.92958,-0.81849,0.37104,-0.63246,0.41424,-0.023232,0.33461,-0.51209,0.37116,0.01033,-0.19485,0.14871,0.14086,0.024289,0.33638,0.20536,0.053034,-0.43684,0.16835,0.14235,-0.23481,-0.22509,7.7022e-16
"C016",2.0823,-3.0927,3.1717,-1.9256,-2.1495,1.3622,2.6888,-1.3785,0.64314,0.71952,4.6401,1.8523,0.47901,0.017024,0.63766,-1.1052,-0.23556,0.5437,-0.65475,-0.73345,0.70752,-0.59979,0.19948,0.16604,1.37,0.9732,-0.2622,0.71058,-0.0030303,0.54255,-0.11348,-0.90037,-0.86538,0.1802,0.50686,-0.66827,0.083142,0.067035,0.64154,0.56751,0.093642,0.079689,0.54011,-0.1458,0.2374,0.038058,0.025706,0.34864,0.064896,2.2204e-16
"C017",-2.1412,2.5203,-0.1566,1.644,0.49407,0.66045,-0.48866,0.82739,-1.2897,0.11251,0.31529,0.58469,-0.71481,1.5921,-1.8366,-0.46074,0.31765,0.99236,0.62053,1.0411,-0.14315,-0.59214,0.13258,0.25072,0.46929,0.71626,0.21758,-0.13501,0.15201,0.37036,0.2328,-0.22434,0.62508,1.478,0.74024,0.35769,-0.82033,-0.9125,-0.083312,-0.40677,-0.36688,-0.080309,-0.35612,0.15354,-0.35116,-0.40592,-0.16047,0.57956,0.15266,1.2646e-15
"C019",3.6316,-1.7629,7.1799,3.0197,-2.8229,-0.40478,-0.66788,-0.26413,4.5548,-2.2444,-1.6598,-0.73136,2.6838,-1.5872,-3.0453,1.2553,1.7348,-1.3264,-0.12026,-0.44068,-0.14247,0.18459,-0.64213,-0.11081,-0.39337,1.0351,-0.70884,-0.20157,-0.51749,-0.12761,-0.41557,-0.50999,0.47382,-0.20258,0.37986,-0.15426,-0.30242,-0.029878,0.047791,-0.19505,0.30327,-0.27063,-0.04712,-0.2661,0.23044,-0.041033,0.091418,0.066193,0.058843,-1.5959e-16
