"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.9.98",-0.086067,-0.099396,0.19556,-0.13773,0.33676,-0.30966,0.23101,-0.24325
"Bin.9.94",0.00043739,0.0039415,0.15429,-0.31452,0.24812,-0.5015,0.29662,-0.0014203
"Bin.9.90",0.03182,-0.090969,0.24596,-0.21287,0.22273,-0.24576,0.15287,-0.20431
"Bin.9.86",-0.0029956,-0.12046,0.056698,-0.24253,0.40158,-0.18623,0.081685,-0.070485
"Bin.9.82",-0.081499,-0.15582,0.098037,-0.19012,0.35527,0.00075041,0.073807,-0.19513
"Bin.9.78",-0.0091548,-0.11997,0.078979,-0.22222,0.1256,0.35513,-0.28553,-0.12255
"Bin.9.74",-0.022111,-0.13239,0.17093,-0.11824,0.19254,0.12456,-0.075733,-0.25069
"Bin.9.70",0.077568,0.021681,0.13317,-0.36521,0.039624,0.037401,0.014968,-0.058869
"Bin.9.66",0.047613,-0.1391,0.1682,-0.17187,0.29029,-0.09186,-0.10692,0.015455
"Bin.9.62",0.06098,-0.13447,0.19673,-0.23616,0.17642,-0.058248,0.054233,-0.14841
"Bin.9.58",0.014359,-0.12814,0.15677,-0.25294,0.24939,0.21794,-0.21158,-0.1254
"Bin.9.54",0.072583,-0.12204,0.1346,-0.25568,0.11941,0.023959,-0.13399,0.29185
"Bin.9.50",0.16137,-0.13855,0.097412,-0.11594,0.21269,-0.26939,-0.010616,0.25915
"Bin.9.46",0.062779,-0.14605,0.032463,-0.04202,0.0076896,0.053314,-0.027601,0.20554
"Bin.9.42",0.17264,-0.1483,0.066052,-0.20065,0.13842,-0.20073,0.04795,0.32239
"Bin.9.38",0.089906,-0.18322,0.068616,-0.042423,-0.027489,0.099035,-0.11678,0.092886
"Bin.9.34",0.1102,-0.12097,0.17413,-0.33824,-0.09808,0.25573,0.11162,0.063956
"Bin.9.30",0.036315,-0.18486,0.027069,-0.033588,-0.015854,0.087818,-0.086791,0.17296
"Bin.9.26",0.01141,-0.02776,-0.022601,-0.12079,0.073522,-0.018675,-0.029402,0.14417
"Bin.9.22",0.13755,-0.10515,0.11147,0.068901,0.079641,-0.070893,-0.22572,0.33215
"Bin.9.18",0.10668,-0.10877,0.24507,-0.10563,-0.085875,0.034885,-0.056803,0.2133
"Bin.9.14",-0.035341,-0.066415,0.048849,0.014672,-0.026304,6.7999e-05,0.073569,-0.043744
"Bin.9.10",0.05232,-0.20067,0.072873,0.055758,-0.050233,0.011582,-0.027814,0.053791
"Bin.9.06",0.059302,-0.1838,0.089071,0.087768,-0.083697,0.002319,-0.060577,0.074229
"Bin.9.02",0.089336,-0.18027,0.072188,0.045375,-0.060608,0.0043546,-0.049095,0.001488
"Bin.8.98",0.056168,-0.030929,0.013479,-0.021435,-0.020903,0.12022,-0.10664,0.03493
"Bin.8.94",0.11743,-0.17223,0.081446,0.038943,-0.065211,0.1217,-0.045136,0.061292
