"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C002",-1.6856,-1.3689,0.24674,-1.4371,0.22603,-1.2653,-0.55859,-1.6955
"C004",-2.8092,0.31428,1.2181,-1.8056,0.2269,-0.40419,-1.435,-1.0071
"C005",-2.3065,-2.8493,-1.725,-0.40302,-1.5163,0.30413,1.7436,-1.443
"C006",-2.693,-3.2525,-2.2386,-1.3048,2.9645,0.79502,0.42515,0.60336
"C007",-2.5531,-2.884,-0.54115,-1.2529,1.236,-0.90206,1.0042,-0.13537
"C009",-2.1557,-0.802,-1.1274,2.2559,-2.4352,-2.0461,-0.1105,0.97938
"C010",-1.4584,-2.2968,-1.1531,-1.4255,-0.083773,-0.17357,-0.14171,-0.13906
"C011",-5.2738,3.6995,-0.60232,0.19804,-3.0634,3.6349,-2.5604,0.047526
"C012",-2.4676,-1.4035,-1.1094,-3.6084,-0.92242,0.4252,-0.84998,0.92031
"C015",-2.5189,-0.32583,0.32386,-0.21853,-2.7586,-0.49894,-1.3048,0.18993
"C016",-1.0041,-1.4701,-4.69,-1.1722,-4.619,0.067772,0.92343,2.6565
"C017",-1.7146,-2.3443,0.22476,-1.5897,0.23575,-1.2807,-0.59771,-0.77562
"C019",-4.6834,-1.3949,-2.4581,5.8412,1.2778,-0.098732,-1.2666,-2.196
"C020",-3.9283,-2.0929,-2.4316,3.3915,-1.3328,0.32891,0.80923,-0.20835
"C021",-2.5478,-0.92144,-0.72732,0.089908,-1.7412,-1.0306,2.272,-0.31253
"C022",-3.9252,-0.061083,1.5679,0.87102,2.2412,-3.1091,-1.4741,0.52845
"C024",-1.4991,-1.661,-0.92354,-2.7961,-1.5187,-0.048435,-1.1634,0.2734
"C026",-3.3167,-2.6645,-1.5583,-1.5943,2.1007,0.23046,1.3951,-0.25743
"C028",-2.2322,-1.6409,-0.90147,-3.9765,-0.37455,-0.73873,-0.17683,1.4467
"C029",-1.3057,-2.4554,-0.97917,-2.2403,-0.26945,0.19957,1.1085,-0.25119
"C030",-2.9329,-1.3033,-1.8462,-0.65186,-0.96347,0.52527,1.3278,-1.6488
"C031",-3.7915,0.52761,-1.3956,-1.3629,-0.90783,2.4486,-0.40365,-1.5462
"C032",-3.0837,-1.0955,0.40656,-2.0195,0.27286,-0.67347,0.14234,0.14074
"C033",-5.453,-4.3584,-2.3396,5.6821,5.9334,0.68713,-1.5852,2.0977
"C034",-0.22761,-2.6724,-0.77227,-3.4107,-1.115,-1.3105,-1.1626,-0.42268
"P002",0.65708,2.2484,3.9801,-0.70213,3.4151,1.0841,-0.91558,2.8509
"P012",7.5804,-2.718,-8.0165,-0.52924,1.2033,2.1043,-0.14509,-0.18731
"P014",3.1343,-1.6906,2.7708,-2.6007,1.5412,0.39801,0.17543,0.48072
"P027",1.6451,-2.5028,0.46359,-2.1041,2.1267,0.68114,2.2003,0.25039
"P034",1.8359,0.51977,4.0046,0.91781,2.2841,0.20367,0.31315,-1.8435
"P037",0.43813,3.107,3.6617,4.7097,-1.4342,0.1369,-0.13656,-1.5191
"P038",3.6018,0.82032,2.4163,0.514,-1.7276,-1.6005,0.16298,-0.044385
"P041",8.088,0.71521,-12.69,4.3109,1.8238,-1.2749,0.027547,-0.33801
"P042",2.1543,-1.7853,1.6219,0.26921,0.94891,-0.3315,2.7011,0.001476
"P049",0.32162,2.1152,3.9262,1.4109,1.318,1.0956,1.155,-0.27141
"P056",0.050841,2.3601,4.2476,1.1452,0.37117,-1.3163,1.2072,1.5589
"P058",0.11547,3.931,1.4284,6.9174,-3.4241,-0.071196,1.3392,0.85912
"P060",2.0814,1.5055,2.2956,2.763,-0.192,-0.59514,-1.4456,0.17479
"P064",3.8115,-1.498,1.4947,-1.302,1.2454,0.11077,-0.15261,-0.29511
"P065",4.2533,-0.90303,1.1609,-1.655,-0.11006,1.5781,-0.3658,0.19868
"P070",2.2921,0.87691,1.3534,3.0723,-1.0657,0.39403,-0.35894,-0.44658
"P080",3.8106,0.55056,0.33877,-0.20616,2.7211,-0.63383,-1.3277,1.0937
"P085",3.731,-1.2201,3.7982,-0.89639,0.55878,-0.27739,0.019751,-1.1228
"P086",4.4926,1.372,0.45015,-1.0216,-4.4371,-0.073097,0.12072,1.0769
"P089",4.7541,-1.5664,1.0823,-1.6135,0.85743,0.45649,-0.14937,-0.49509
"P092",1.1859,-0.44298,1.0127,3.1051,-1.2129,1.3798,1.425,1.7597
"P099",-1.0976,3.1373,6.3901,1.6532,0.73514,1.4147,0.76319,0.14849
"P113",-1.9941,27.433,-4.4918,-3.3582,2.105,-0.51957,0.65191,-0.22338
"P013b",5.8451,0.32225,0.60069,0.14218,-3.1798,-0.33726,-2.7162,0.030523
"P100b",4.7793,0.090318,2.232,-1.0013,0.43474,-0.073422,-0.90915,-1.5427
