"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.8.74",2.7356,2.5252,2.367,2.4106,2.4063,2.3925,2.3854,2.378
"Bin.0.50",2.5212,2.3679,2.2986,2.283,2.2616,2.2431,2.2557,2.253
"Bin.8.70",2.4011,2.2171,2.085,2.1552,2.1401,2.1386,2.1278,2.1265
"Bin.0.82",2.2154,2.0587,1.9332,1.887,1.8701,1.8515,1.8372,1.8315
"Bin.2.54",2.1993,2.0891,2.0334,1.9995,1.9827,1.9653,1.9509,1.9468
"Bin.2.70",2.1664,2.0575,1.9969,1.9656,1.9486,1.9325,1.9189,1.9154
"Bin.0.26",2.0979,2.1952,2.0667,2.0192,1.9999,1.9804,1.9654,1.9598
"Bin.0.22",2.0563,2.2076,2.0823,2.0265,2.0141,1.9964,1.9848,1.9816
"Bin.2.66",2.0284,1.9248,1.8794,1.8385,1.8215,1.8035,1.7899,1.7846
"Bin.0.78",2.0174,1.8643,1.7484,1.7038,1.6874,1.6711,1.6582,1.653
"Bin.8.42",2.0171,1.8646,1.7467,1.7132,1.7003,1.6836,1.6708,1.6656
"Bin.9.22",1.9666,1.8154,1.8667,1.8354,1.8182,1.8108,1.7975,1.8296
"Bin.8.62",1.9621,1.8138,1.7131,1.7948,1.8125,1.7945,1.7843,1.781
"Bin.7.82",1.9217,1.7772,1.6693,1.627,1.6115,1.5959,1.5983,1.5944
"Bin.9.82",1.8561,1.784,1.7331,1.6868,1.8167,1.7989,1.7852,1.7829
"Bin.7.54",1.855,1.718,1.6141,1.575,1.5599,1.5454,1.5471,1.5438
"Bin.8.66",1.8268,1.6869,1.5824,1.5498,1.5355,1.5202,1.5089,1.5042
"Bin.0.94",1.7941,1.6726,1.5694,1.5293,1.5158,1.5008,1.4898,1.4854
"Bin.2.58",1.7693,1.7062,1.6863,1.6729,1.667,1.6607,1.6519,1.6469
"Bin.7.86",1.7305,1.5988,1.5024,1.4646,1.4507,1.4385,1.4457,1.4415
"Bin.8.14",1.7248,1.6025,1.5113,1.4715,1.4575,1.4493,1.4423,1.4387
"Bin.8.38",1.7246,1.5927,1.4921,1.4636,1.4496,1.4496,1.4403,1.4378
"Bin.8.30",1.717,1.5991,1.5177,1.477,1.463,1.4517,1.4418,1.4373
"Bin.0.98",1.6638,1.5399,1.443,1.4043,1.3908,1.3783,1.3698,1.3656
"Bin.7.58",1.6262,1.5076,1.4271,1.3951,1.3819,1.3704,1.3764,1.3728
"Bin.0.46",1.6179,1.7916,1.6782,1.6342,1.6193,1.6405,1.6469,1.6428
"Bin.9.18",1.5926,1.4713,1.6212,1.6361,1.6239,1.6113,1.5991,1.6007
"Bin.8.26",1.5884,1.4665,1.3739,1.3493,1.3388,1.3258,1.3185,1.3187
"Bin.8.58",1.5849,1.4631,1.3721,1.3487,1.3395,1.3262,1.3166,1.3141
"Bin.7.66",1.5622,1.4422,1.3595,1.3283,1.3156,1.3071,1.3159,1.3119
"Bin.8.78",1.5555,1.4361,1.3452,1.3252,1.3228,1.3307,1.3204,1.3196
"Bin.1.02",1.5356,1.4187,1.3298,1.2941,1.2823,1.2745,1.2664,1.2625
"Bin.0.62",1.507,1.5436,1.5412,1.5203,1.5089,1.5046,1.5063,1.5022
"Bin.9.50",1.5044,1.4935,1.4242,1.4099,1.4038,1.4724,1.4617,1.4589
"Bin.0.86",1.4554,1.3495,1.2659,1.2323,1.2204,1.2103,1.2045,1.2009
"Bin.7.62",1.4262,1.3217,1.2503,1.2213,1.2105,1.1986,1.2059,1.2049
"Bin.0.58",1.3898,1.4512,1.4603,1.4491,1.4356,1.4291,1.4317,1.4273
"Bin.6.42",1.3347,1.2336,1.6949,1.6812,1.6968,1.6803,1.6682,1.6631
"Bin.3.98",1.315,1.2148,1.1409,1.1108,1.1008,1.0913,1.0943,1.0918
"Bin.0.90",1.2338,1.1457,1.0749,1.0461,1.0361,1.0285,1.0252,1.0221
"Bin.0.30",1.1873,1.6148,1.536,1.5101,1.4957,1.4876,1.4782,1.4939
"Bin.9.42",1.1737,1.4058,1.3219,1.3931,1.3871,1.3919,1.391,1.3893
"Bin.1.70",1.1703,1.0925,1.0233,0.99946,0.99151,0.98341,0.9766,0.97355
"Bin.0.54",1.1683,1.2945,1.3208,1.3146,1.302,1.2918,1.2957,1.2917
"Bin.6.34",1.1577,1.0791,1.6853,1.6549,1.6546,1.6438,1.6311,1.6275
"Bin.1.42",1.0702,0.99196,0.92944,0.90577,0.89766,0.88971,0.88852,0.88592
"Bin.9.78",1.0557,1.1739,1.0995,1.1703,1.198,1.1904,1.315,1.3134
"Bin.6.30",1.0476,1.2737,1.4549,1.4942,1.4878,1.4757,1.4656,1.4611
"Bin.9.70",1.0326,0.95429,0.91918,1.3809,1.3776,1.373,1.3647,1.3617
"Bin.8.34",1.0317,0.96108,0.91594,0.89243,0.88438,0.87853,0.88227,0.88031
"Bin.4.26",1.0302,0.95844,0.89773,0.88117,0.8728,0.86417,0.85828,0.85597
"Bin.6.58",1.0156,0.97364,1.3823,1.3513,1.3431,1.3531,1.3479,1.3438
"Bin.2.62",1.0026,0.94956,0.9661,0.95208,0.94397,0.93487,0.92802,0.92722
